English party name	Norwegian party name	Associated ideology	Current leader	International affiliation	2013 Parliamentary election	County councils ( 2011 )
Red	Rødt	Revolutionary socialism , Communism	Bjørnar Moxnes	none	1.1%	7
The Christians	De Kristne	Christian right	Erik Selle	none	0.6%	0
Pensioners Party	Pensjonistpartiet	s Pensioner ' interests	Ragnar Dahl	none	0.4%	3
Pirate party	Piratpartiet Norge	Pirate politics	Øystein Jakobsen	none	0.3%	0
Christian Unity Party	Kristent Samlingsparti	Christian right	Ørnulf Nandrup	none	0.1%	0
Coastal Party	Kystpartiet	Conservatism	Kjell Ivar Vestå	none	0.1%	3
Democrats	Demokratene	Populism	Elisabeth Rue Strencbo	none	0.1%	1
Communist Party of Norway	Norges Kommunistiske Parti	Communism	Svend Haakon Jacobsen	none	0.0%	0
Liberal People's Party	Det Liberale Folkepartiet	Classical liberalism	Vegard Martinsen	none	0.0%	0
Contemporary Party	Samtidspartiet	s Muslim ' interests	Ghuffor Butt	none	0.0%	0
Center Alliance	Sentrumsalliansen	Centrism , Western Norway 's interests	Merete Andreassen	none	0.0%	0
Abortion Opponents' List	Abortmotstandernes Liste	Pro-life	Ludvig Nessa	none	0.0%	0
Society Party	Samfunnspartiet	Anarchism	Øystein Johannessen	none	0.0%	0
One (Written) Language	Ett (skrift)språk	Anti- Nynorsk	Einar Smørdal	none	0.0%	0
Non-Partisan Deputies	Tverrpolitisk folkevalgte	none	Harald O. Haram	none	0.0%	0
Norwegian Republican Alliance	Norsk Republikansk Allianse	Republicanism	Erland Skattem	none	0.0%	0
