Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Runner-up	September 17, 1978	San Antonio , Texas, USA	Hard	Françoise Dürr	Ilana Kloss Marise Kruger	1-6, 4-6
Runner-up	November 5, 1978	Buenos Aires , Argentina	Clay	Regina Maršiková	Françoise Dürr Valerie Ziegenfuss	6-1, 4-6, 3-6
Runner-up	November 25, 1979	Brighton , England	Carpet	Ilana Kloss	Ann Kiyomura Anne Smith	2-6, 1-6
Winner	January 13, 1980	Cincinnati , Ohio, USA	Carpet	Pam Shriver	Mima Jaušovec Ann Kiyomura	6-3, 6-3
Runner-up	January 20, 1980	Kansas City , Missouri, USA	Carpet	Pam Shriver	Billie Jean King Martina Navrátilová	3-6, 1-6
Winner	March 28, 1980	Carlsbad , California, USA	Hard	Pam Shriver	Rosie Casals JoAnne Russell	6-7, 6-4, 6-1
Winner	September 27, 1981	Atlanta , Georgia, USA	Hard	Betsy Nagelsen	Rosie Casals Candy Reynolds	6-4, 7-5
Runner-up	October 18, 1982	Tokyo, Japan	Hard	Barbara Jordan	Naoko Sato Brenda Remilton	6-2, 3-6, 3-6
Winner	October 24, 1982	Tokyo, Japan	Hard	Barbara Jordan	Naoko Sato Brenda Remilton	6-2, 6-7, 6-1
Winner	October 24, 1982	Hong Kong	Clay	Alycia Moulton	Jennifer Mundel Yvonne Vermaak	6-2, 4-6, 7-5
