Driver	Constructor	Laps	Time/Retired	Grid
Emerson Fittipaldi	Lotus - Ford	75	1:48:18.7	7
François Cevert	Tyrrell - Ford	75	+ 42.7	3
George Follmer	Shadow - Ford	75	+ 1:13.1	14
Peter Revson	McLaren - Ford	74	+1 Lap	5
Jean-Pierre Beltoise	BRM	74	+1 Lap	10
Denny Hulme	McLaren - Ford	74	+1 Lap	2
Mike Beuttler	March - Ford	74	+1 Lap	19
Henri Pescarolo	March - Ford	73	+2 Laps	18
Clay Regazzoni	BRM	69	+6 Laps	8
Wilson Fittipaldi	Brabham - Ford	69	+6 Laps	12
Nanni Galli	Iso Marlboro - Ford	69	+6 Laps	20
Jacky Ickx	Ferrari	69	+6 Laps	6
Carlos Reutemann	Brabham - Ford	66	Halfshaft	15
Howden Ganley	Iso Marlboro - Ford	63	Out of Fuel	21
Ronnie Peterson	Lotus - Ford	56	Gearbox	1
Jackie Stewart	Tyrrell - Ford	47	Brakes	4
Niki Lauda	BRM	28	Tyre	11
Graham Hill	Shadow - Ford	27	Brakes	22
Mike Hailwood	Surtees - Ford	25	Oil Leak	9
Jackie Oliver	Shadow - Ford	23	Engine	13
Andrea de Adamich	Brabham - Ford	17	Wheel	17
Carlos Pace	Surtees - Ford	13	Halfshaft	16
