Pick	Round	Player	Position	School
1	1	Bo Jackson	Running Back	Auburn
25	1 (from Miami)	Roderick Jones	Defensive Back	Southern Methodist
28	2	Jackie Walker	Linebacker	Jackson State
40	2 (from Miami)	Kevin Murphy	Linebacker	Oklahoma
83	4	Craig Swoope	Defensive Back	Illinois
112	5	J.D. Maarleveld	Tackle	Maryland
165	6 (from New England)	Kevin Walker	Defensive Back	East Carolina
223	9	Tommy Barnhardt	Punter	North Carolina
250	10	Benton Reid	Defensive End	Mississippi
279	11	Mark Drenth	Tackle	Purdue
306	12 (from San Francisco)	Clay Miller	Guard	Michigan
