Name	Country	Seasons	Championship Titles	Race entries (Starts)	Poles	Wins	Podiums	Fastest Laps	Points
Mikhail Aleshin Category:Articles with hCards	Russia	2011	0	4	0	0	0	0	0
Hamad Al Fardan Category:Articles with hCards	Bahrain	2008–09	0	12 (11)	0	0	0	0	2
Vladimir Arabadzhiev Category:Articles with hCards	Bulgaria	2009–10	0	8	0	0	0	0	0
Christian Bakkerud Category:Articles with hCards	Denmark	2008	0	10	0	0	0	0	0
Earl Bamber Category:Articles with hCards	New Zealand	2008–09	0	6 (5)	0	0	1	0	8
Nathanaël Berthon Category:Articles with hCards	France	2011	0	4	0	0	0	0	0
Jules Bianchi Category:Articles with hCards	France	2009–10 – 2011	0	10	1	1	3	2	26
Sam Bird Category:Articles with hCards	United Kingdom	2009–10 – 2011	0	12	0	0	1	1	14
Marco Bonanomi Category:Articles with hCards	Italy	2008 – 2008–09	0	18	0	1	1	0	9
Will Bratt Category:Articles with hCards	United Kingdom	2009–10	0	8	0	0	0	0	0
Sébastien Buemi Category:Articles with hCards	Switzerland	2008	0	10	0	1	5	1	37
Yelmer Buurman Category:Articles with hCards	Netherlands	2008 – 2009–10	0	18 (16)	0	0	1	0	17
Andrea Caldarelli Category:Articles with hCards	Italy	2011	0	4	0	0	0	0	0
Johnny Cecotto, Jr. Category:Articles with hCards	Venezuela	2009–10 – 2011	0	6	0	0	0	0	3
Karun Chandhok Category:Articles with hCards	India	2008 – 2008–09	0	12	0	0	1	0	7
Kevin Nai Chia Chen Category:Articles with hCards	Taiwan	2008–09	0	12 (11)	0	0	0	0	0
Max Chilton Category:Articles with hCards	United Kingdom	2009–10 – 2011	0	12	0	0	0	0	2
Dani Clos Category:Articles with hCards	Spain	2009–10 – 2011	0	8	0	1	1	0	8
Stefano Coletti Category:Articles with hCards	Monaco	2011	0	4	0	1	1	0	11
Fabrizio Crestani Category:Articles with hCards	Italy	2008–09	0	10 (9)	0	0	0	0	0
Jérôme d'Ambrosio Category:Articles with hCards	Belgium	2008 – 2008–09	0	22 (21)	1	0	6	3	48
Michael Dalle Stelle Category:Articles with hCards	Italy	2008–09	0	10 (9)	0	0	0	0	0
Armaan Ebrahim Category:Articles with hCards	India	2008	0	10	0	0	0	0	0
Marcus Ericsson Category:Articles with hCards	Sweden	2009–10 – 2011	0	8	0	0	1	0	9
Fairuz Fauzy Category:Articles with hCards	Malaysia	2008 , 2011	0	14	0	1	3	1	25
Luca Filippi Category:Articles with hCards	Italy	2008 – 2011	0	22	1	1	3	1	33
Rodolfo González Category:Articles with hCards	Venezuela	2008–09 – 2011	0	14	0	0	0	0	0
Romain Grosjean Category:Articles with hCards	France	2008 , 2011	2 ( 2008 , 2011 )	14	6	5	7	6	85
Esteban Gutiérrez Category:Articles with hCards	Mexico	2011	0	4	0	0	0	0	3
Ben Hanley Category:Articles with hCards	United Kingdom	2008	0	8	0	0	1	0	6
Michael Herck Category:Articles with hCards	Romania	2008 – 2011	0	32 (31)	0	0	1	0	16
Nico Hülkenberg Category:Articles with hCards	Germany	2008–09	0	4	2	1	1	1	27
Carlos Iaconelli Category:Articles with hCards	Brazil	2008–09	0	2	0	0	0	0	0
James Jakes Category:Articles with hCards	United Kingdom	2008–09 – 2011	0	16 (15)	0	0	2	1	13
Stephen Jelley Category:Articles with hCards	United Kingdom	2008	0	9	0	0	0	0	0
Adam Khan Category:Articles with hCards	Pakistan	2008	0	4	0	0	0	0	0
Kamui Kobayashi Category:Articles with hCards	Japan	2008 – 2008–09	1 ( 2008–09 )	22 (21)	2	4	7	4	78
Josef Král Category:Articles with hCards	Czech Republic	2009–10 – 2011	0	12	0	0	2	0	16
Plamen Kralev Category:Articles with hCards	Bulgaria	2009–10	0	8	0	0	0	0	0
Julian Leal Category:Articles with hCards	Italy	2011	0	4	0	0	0	0	0
Fabio Leimer Category:Articles with hCards	Switzerland	2009–10 – 2011	0	12	0	0	1	0	9
Mika Mäki Category:Articles with hCards	Finland	2008–09	0	2	0	0	0	0	0
Pastor Maldonado Category:Articles with hCards	Venezuela	2008–09	0	6 (5)	0	0	1	0	7
Edoardo Mortara Category:Articles with hCards	Italy	2008–09	0	8	0	0	1	0	11
Diego Nunes Category:Articles with hCards	Brazil	2008 – 2009–10	0	24 (22)	0	2	2	0	26
Jolyon Palmer Category:Articles with hCards	United Kingdom	2011	0	4	0	0	0	0	0
Álvaro Parente Category:Articles with hCards	Portugal	2008–09 – 2009–10	0	10	0	0	1	1	13
Miloš Pavlović Category:Articles with hCards	Serbia	2008	0	10	0	0	0	0	6
Sergio Pérez Category:Articles with hCards	Mexico	2008–09 – 2009–10	0	16 (15)	0	2	3	1	31
Vitaly Petrov Category:Articles with hCards	Russia	2008 – 2008–09	0	22 (21)	1	2	7	0	61
Nelson Philippe Category:Articles with hCards	France	2008–09	0	2	0	0	0	0	0
Charles Pic Category:Articles with hCards	France	2009–10 – 2011	0	12	1	1	2	0	18
Edoardo Piscopo Category:Articles with hCards	Italy	2009–10	0	8 (7)	0	0	0	0	3
Frankie Provenzano Category:Articles with hCards	Italy	2008–09	0	4	0	0	0	0	0
Marcello Puglisi Category:Articles with hCards	Italy	2008	0	10	0	0	0	0	0
Luiz Razia Category:Articles with hCards	Brazil	2008–09 – 2011	0	20 (19)	0	1	1	0	9
Giacomo Ricci Category:Articles with hCards	Italy	2008–09 – 2009–10	0	20 (19)	0	1	3	1	29
Davide Rigon Category:Articles with hCards	Italy	2008–09	0	6	0	0	1	0	6
