Driver	Car #	Make	Points	Laps	Winnings
Jeff Burton	31	Chevrolet	190	334	$526,766
Matt Kenseth	17	Ford	175	334	$357,266
Mark Martin	01	Chevrolet	165	334	$275,583
Jeff Gordon	24	Chevrolet	170	334	$255,811
Jamie McMurray	26	Ford	155	334	$173,325
Greg Biffle	16	Ford	150	334	$160,125
Martin Truex Jr.	1	Chevrolet	146	334	$164,945
Juan Montoya *	42	Dodge	142	334	$168,375
Denny Hamlin	11	Chevrolet	138	334	$143,100
David Stremme	40	Dodge	134	334	$130,175
Kurt Busch	2	Dodge	135	334	$157,233
Carl Edwards	99	Ford	127	334	$129,975
Tony Raines	96	Chevrolet	124	334	$131,325
Brian Vickers	83	Toyota	126	334	$114,325
Paul Menard *	15	Chevrolet	118	333	$113,325
Clint Bowyer	7	Chevrolet	115	333	$123,775
Elliott Sadler	19	Dodge	117	333	$131,870
Joe Nemechek	13	Chevrolet	109	333	$108,325
David Gilliland	38	Ford	106	332	$137,639
Kasey Kahne	9	Dodge	103	332	$154,816
Dave Blaney	22	Toyota	100	332	$137,033
Johnny Sauter	70	Chevrolet	97	332	$102,325
Casey Mears	25	Chevrolet	94	332	$113,175
Robby Gordon	7	Ford	96	332	$102,625
Tony Stewart	20	Chevrolet	88	332	$146,861
Jeff Green	66	Chevrolet	85	332	$121,683
Scott Riggs	10	Dodge	82	331	$105,925
Bobby Labonte	43	Dodge	79	331	$133,261
Kevin Harvick	29	Chevrolet	76	331	$140,961
Dale Jarrett	44	Toyota	73	331	$91,575
Ken Schrader	21	Ford	70	331	$112,364
Ryan Newman	12	Dodge	67	330	$122,625
Ricky Rudd	88	Ford	64	321	$118,933
Sterling Marlin	14	Chevrolet	61	304	$97,508
Kyle Petty	45	Dodge	58	291	$94,272
Dale Earnhardt Jr.	8	Chevrolet	60	288	$128,983
Kyle Busch	5	Chevrolet	52	262	$100,475
Jimmie Johnson	48	Chevrolet	49	260	$135,261
David Ragan *	6	Ford	46	239	$117,025
Reed Sorenson	41	Dodge	48	197	$89,075
Mike Bliss	49	Dodge	40	42	$80,960
Kenny Wallace	78	Chevrolet	37	38	$80,865
J.J. Yeley	18	Chevrolet	34	1	$108,898
