Draft Year	Player	Summer Team	College	MLB Team	Draft Round
2009	Barry Butera	Sag Harbor '08	Boston College	Houston Astros	21st
2010	Steve McQuail	Sag Harbor '08	Canisius	Toronto Blue Jays	30th
2010	Justin Echevarria	Riverhead '09	Stony Brook	San Diego Padres	40th
2011	Nick Ahmed	Westhampton '09	UConn	Atlanta Braves	2nd
2011	Kyle Kubitza	Southampton '09	Texas State	Atlanta Braves	3rd
2011	Nick Tropeano	Riverhead '09	Stony Brook	Houston Astros	5th
2011	Andrew Cain	North Fork '09	UNC-Wilmington	Milwaukee Brewers	12th
2011	Phil Klein	Sag Harbor '08	Youngstown State	Texas Rangers	30th
2011	Joel Thys	Sag Harbor '10	Ohlone	Florida Marlins	47th
2012	Paul Paez	Southampton '12	Rio Hondo	New York Mets	18th
2012	Alex Williams	Westhampton '10	Louisiana Tech	Chicago White Sox	19th
2012	Andrew Cain	North Fork '09	UNC Wilmington	San Francisco Giants	24th
2012	Brandon Kuter	Westhampton '10, '11	George Mason	Texas Rangers	29th
2012	Andrew Ferreira	Southampton '10	Harvard	Minnesota Twins	32nd
2012	Justin Topa	Southampton '10	Long Island	Cincinnati Reds	33rd
2012	Blake Amaral	Southampton '10	Hawaii Pacific	Los Angeles Angels of Anaheim	40th
2012	Kevin Heller	Westhampton '10, '11	Amherst	Boston Red Sox	40th
2013	Stuart Turner	Southampton '11	Ole Miss	Minnesota Twins	3rd
2013	Jordan Patterson	Westhampton '11	South Alabama	Colorado Rockies	4th
2013	Aaron Slegers	Riverhead '11	Indiana	Minnesota Twins	5th
2013	Kyle McGowin	Sag Harbor '11, '12	Savannah State	Los Angeles Angels of Anaheim	5th
2013	Zack Godley	Southampton '10	Tennessee	Chicago Cubs	10th
2013	James Lomangino	Westhampton '10	St. John's	Oakland Athletics	14th
2013	Kevin McCarthy	Sag Harbor '11	Marist	Kansas City Royals	16th
2013	Zach Mathieu	Riverhead '11	Franklin Pierce	New York Mets	16th
2013	Justin Topa	Southampton '10	Long Island	Pittsburgh Pirates	17th
2013	Frank Schwindel	Riverhead '11	St. John's	Kansas City Royals	18th
2013	Garrett Hughes	Southampton '10	Stanford	San Francisco Giants	19th
2013	Mike Ahmed	Westhampton '11	Holy Cross	Los Angeles Dodgers	20th
2013	Brenton Allen	Southampton '12	UCLA	Washington Nationals	20th
2013	Antonio Alvarez	Southampton '11	Elon	Arizona Diamondbacks	22nd
2013	Donnie Hart	Westhampton '10	Texas State	Baltimore Orioles	27th
2013	Kyle Lloyd	Westhampton '10	Evansville	San Diego Padres	29th
2013	Joel Thys	Sag Harbor '11	Arizona Christian	Arizona Diamondbacks	31st
2013	Max Watt	Center Moriches '13	Hillsborough CC	Boston Red Sox	37th
2013	Paul Paez	Southampton '12	Rio Hondo	New York Mets	38th
