Year	Award	Work	Cole	Dylan
1999	YoungStar Awards	Big Daddy	Nominated	Nominated
2000	MTV Movie Awards	Big Daddy	Nominated	Nominated
2000	Blockbuster Entertainment Awards	Big Daddy	Nominated	Nominated
2000	Young Artist Awards	Big Daddy	Nominated	Nominated
2006	Young Artist Awards	The Suite Life of Zack & Cody	Nominated	Nominated
2007	Kids' Choice Awards	The Suite Life of Zack & Cody	Nominated	N/A
2007	Young Artist Awards	The Suite Life of Zack & Cody	Nominated	Nominated
2007	Popstar Magazine's Poptastic Awards	The Suite Life of Zack & Cody	Nominated	Nominated
2008	Kids' Choice Awards	The Suite Life of Zack & Cody	Nominated	Nominated
2008	Popstar Magazine's Poptastic Awards	The Suite Life of Zack & Cody	Nominated	Nominated
2009	Kids' Choice Awards	The Suite Life of Zack & Cody	Nominated	Won
2009	Popstar Magazine's Poptastic Awards	The Suite Life on Deck	Nominated	Nominated
2010	Kids' Choice Awards	The Suite Life on Deck	Nominated	Won
2011	Kids' Choice Awards	The Suite Life on Deck	Nominated	Won
