Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
2	November 1	@ Detroit	L 109–117 (OT)	Antawn Jamison (24)	Antawn Jamison (8)	Caron Butler (6)	The Palace of Auburn Hills 22,076	0–2
3	November 5	@ Milwaukee	L 104–112 (OT)	Caron Butler (27)	Antawn Jamison (10)	Juan Dixon , Antonio Daniels (4)	Bradley Center 13,895	0–3
4	November 7	New York	L 108–114 (OT)	Caron Butler (30)	Antawn Jamison (12)	Juan Dixon (11)	Verizon Center 20,173	0–4
5	November 8	@ Orlando	L 81–106 (OT)	Nick Young (20)	JaVale McGee , Oleksiy Pecherov , Etan Thomas (6)	Dee Brown (5)	Amway Arena 16,911	0–5
6	November 12	Utah	W 95–87 (OT)	Caron Butler (27)	JaVale McGee (11)	Caron Butler (3)	Verizon Center 14,885	1–5
7	November 14	@ Miami	L 77–97 (OT)	Antawn Jamison (15)	Antawn Jamison (10)	Juan Dixon (3)	American Airlines Arena 15,284	1–6
8	November 18	Miami	L 87–94 (OT)	Antawn Jamison (25)	Antawn Jamison , Caron Butler (12)	Juan Dixon (5)	Verizon Center 15,102	1–7
9	November 19	@ Atlanta	L 87–91 (OT)	Caron Butler (32)	Antawn Jamison (11)	DeShawn Stevenson (5)	Philips Arena 14,416	1–8
10	November 21	Houston	L 91–103 (OT)	Antawn Jamison (27)	Antawn Jamison (10)	DeShawn Stevenson (7)	Verizon Center 20,173	1–9
11	November 22	@ New York	L 117–122 (OT)	Antawn Jamison (29)	Antawn Jamison (13)	DeShawn Stevenson (8)	Madison Square Garden 19,763	1–10
12	November 25	Golden State	W 124–100 (OT)	Caron Butler (35)	Andray Blatche (12)	DeShawn Stevenson (7)	Verizon Center 13,852	2–10
13	November 27	Orlando	L 90–105 (OT)	Caron Butler (25)	Antawn Jamison (12)	Caron Butler , DeShawn Stevenson (6)	Verizon Center 13,295	2–11
14	November 29	Atlanta	L 98–102 (OT)	Antawn Jamison (26)	Antawn Jamison (13)	Antawn Jamison , Caron Butler (5)	Verizon Center 18,110	2–12
