Outcome	Date	Tournament	Surface	Opponent	Score
Winner	13 October 2002	Ain Alsouknha	Clay	Aurelija Miseviciute	6–4, 6–1
Winner	27 October 2002	Al Mansoura	Clay	Ema Janašková	4–6, 6–3, 6–2
Winner	4 July 2004	Bibione	Clay	Sabrina Jolk	6–3, 6–3
RU	27 March 2005	Rome	Clay	Romina Oprandi	4–6, 6(4)–7
RU	24 July 2005	Palić	Clay	Miljana Adanko	5–7, 1–6
Not Played	30 April 2006	Herceg Novi	Clay	Zorica Petrov	NP
Winner	14 May 2006	Mostar	Clay	Ani Mijačika	6–2, 6–4
Winner	25 March 2007	Athens	Hard	Neuza Silva	6–3, 4–6, 6–3
Winner	24 June 2007	Sarajevo	Clay	Davinia Lobbinger	6–4, 6–4
Winner	5 August 2007	Bad Saulgau	Clay	Kathrin Wörle	7–5, 4–6, 7–5
RU	7 June 2009	Sarajevo	Clay	Ivana Lisjak	0–6, 6(10)–7
RU	2 August 2009	Bad Saulgau	Clay	Andrea Hlaváčková	4–6, 4–6
RU	22 November 2009	Opole	Carpet (i)	Sandra Záhlavová	0–6, 2–6
