Rank	Heat	Name	Nationality	Time
1	3	Nancy Lagat	Kenya	4:03.02
2	3	Nataliya Tobias	Ukraine	4:03.19
3	3	Lisa Dobriskey	Great Britain	4:03.22
4	3	Shannon Rowbury	United States	4:03.89
5	3	Anna Alminova	Russia	4:04.66
6	1	Maryam Yusuf Jamal	Bahrain	4:05.14
7	1	Natalia Rodríguez	Spain	4:05.30
8	1	Siham Hilali	Morocco	4:05.36
9	1	Anna Mishchenko	Ukraine	4:05.61
10	1	Sarah Jamieson	Australia	4:06.64
11	1	Stephanie Twell	Great Britain	4:06.68
12	1	Anna Jakubczak	Poland	4:07.33
13	3	Sylwia Ejdys	Poland	4:08.37
14	3	René Kalmer	South Africa	4:08.41
15	3	Sonja Roman	Slovenia	4:08.52
16	3	Liu Qing	China	4:09.27
17	1	Christin Wurth-Thomas	United States	4:09.70
18	1	Irene Jelagat	Kenya	4:09.92
19	3	Meskerem Assefa	Ethiopia	4:10.04
20	2	Iryna Lishchynska	Ukraine	4:13.60
21	2	Iris Fuentes-Pila	Spain	4:14.10
22	2	Btissam Lakhouad	Morocco	4:14.34
23	2	Susan Scott	Great Britain	4:14.66
24	1	Konstadína Efedáki	Greece	4:15.02
25	2	Viola Kibiwot	Kenya	4:15.62
26	2	Gelete Burka	Ethiopia	4:15.77
27	2	Agnes Samaria	Namibia	4:15.80
28	2	Erin Donohue	United States	4:16.05
29	2	Lisa Corrigan	Australia	4:16.32
30	1	Nahida Touhami	Algeria	4:18.99
31	2	Lidia Chojecka	Poland	4:19.57
32	3	Bouchra Chaabi	Morocco	4:19.89
33	2	Domingas Togna	Guinea-Bissau	5:05.76
