Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	17–8	Rudy Bears	TKO (punches)	VFC 39	1	N/A	Omaha, Nebraska , United States
Win	16–8	Jason Louck	Submission (guillotine choke)	Disorderly Conduct: Warriors	1	N/A	Omaha, Nebraska , United States
Loss	15–8	Jason MacDonald	Submission (triangle choke)	UFC 129	1	1:37	Toronto, Ontario , Canada
Loss	15–7	Court McGee	Submission (arm triangle choke)	UFC 121	3	1:21	Anaheim, California , United States
Win	15–6	Jesse Forbes	Submission (guillotine choke)	UFC 114	1	1:06	Las Vegas, Nevada , United States
Loss	14–6	Mark Muñoz	TKO (submission to punches)	UFC 108	1	2:30	Las Vegas, Nevada , United States
Win	14–5	Steve Steinbeiss	Technical submission (guillotine choke)	UFC Fight Night: Diaz vs. Guillard	1	3:56	Oklahoma City, Oklahoma , United States
Loss	13–5	Wilson Gouveia	Submission (armbar)	UFC Fight Night: Diaz vs Neer	2	2:04	Omaha, Nebraska , United States
Win	13–4	Aaron Praschak	TKO (submission to punches)	Victory Fighting Championships 24	1	2:09	Council Bluffs, Iowa , United States
Win	12–4	Mitch Whitesel	TKO (injury)	SportFight 23	1	4:42	Portland, Oregon , United States
Loss	11–4	Joey Villaseñor	KO (punch)	Strikeforce: Shamrock vs. Le	1	4:45	San Jose, California , United States
Loss	11–3	Demian Maia	Submission (rear naked choke)	UFC 77	1	2:40	Cincinnati, Ohio , United States
Loss	11–2	Thales Leites	Submission (armbar)	UFC 74	1	3:47	Las Vegas, Nevada , United States
Win	11–1	Curtis Stout	Submission (triangle choke)	VFC 19: Inferno	1	3:10	Council Bluffs, Iowa , United States
Win	10–1	Alfred Escobedo	TKO (submission to punches)	IFC: Road to Global Domination	1	1:21	Belton, Texas , United States
Win	9–1	BJ Lacy	TKO	IFC: Rumble on the River 2	1	2:34	Kearney, Nebraska , United States
Win	8–1	Rob Kimmons	Submission (choke)	VFC 14: Aggression	1	N/A	Council Bluffs, Iowa , United States
Win	7–1	Marlon Sims	Submission (rear naked choke)	IFC: Caged Combat	1	1:51	Sacramento, California , United States
Win	6–1	Danny Anderson	TKO	VFC 10: Championship X	2	1:16	Council Bluffs, Iowa , United States
Loss	5–1	Brock Larson	TKO (submission to punches)	Extreme Challenge 63	1	1:39	Hayward, Wisconsin , United States
Win	5–0	Neal Rowe	Submission (rear naked choke)	Extreme Challenge 63	1	2:00	Hayward, Wisconsin , United States
Win	4–0	Tyrone Roberts	Submission (triangle choke)	Victory Fighting Championships 5	1	2:46	Council Bluffs, Iowa , United States
Win	3–0	Josh Stamp	TKO	VFC 2: Bragging Rights	1	0:56	Council Bluffs, Iowa , United States
Win	2–0	Brian Robinson	TKO (submission to punches)	Victory Fighting Championships 1	1	0:20	Council Bluffs, Iowa , United States
Win	1–0	Travis Fulton	Submission (triangle choke)	Extreme Challenge 4	1	1:40	Council Bluffs, Iowa , United States
