Pick #	Player	Position	Nationality	NHL team	College/junior/club team
1	Mario Lemieux	Centre	Canada	Pittsburgh Penguins	Laval Voisins ( QMJHL )
2	Kirk Muller	Centre	Canada	New Jersey Devils	Guelph Platers ( OHL )
3	Ed Olczyk	Left Wing	United States	Chicago Black Hawks	US National Development Team (NAHL)
4	Al Iafrate	Defence	United States	Toronto Maple Leafs	Belleville Bulls (OHL)
5	Petr Svoboda	Defence	Czechoslovakia	Montreal Canadiens	CHZ Litvinov ( Czechoslovakia )
6	Craig Redmond	Defence	Canada	Los Angeles Kings	University of Denver ( WCHA )
7	Shawn Burr	Centre	Canada	Detroit Red Wings	Kitchener Rangers (OHL)
8	Shayne Corson	Centre	Canada	Montreal Canadiens	Brantford Alexanders (OHL)
9	Doug Bodger	Defence	Canada	Pittsburgh Penguins	Kamloops Jr. Oilers ( WHL )
10	J. J. Daigneault	Defence	Canada	Vancouver Canucks	Longueuil Chevaliers (QMJHL)
11	Sylvain Cote	Defence	Canada	Hartford Whalers	Quebec Remparts (QMJHL)
12	Gary Roberts	Left Wing	Canada	Calgary Flames	Ottawa 67's (OHL)
13	David Quinn	Defence	United States	Minnesota North Stars	Kent High School (USHS-CT)
14	Terry Carkner	Defence	Canada	New York Rangers	Peterborough Petes (OHL)
15	Trevor Stienburg	Right Wing	Canada	Quebec Nordiques	Guelph Platers (OHL)
16	Roger Belanger	Centre	Canada	Pittsburgh Penguins	Kingston Canadians (OHL)
17	Kevin Hatcher	Defence	United States	Washington Capitals	North Bay Centennials (OHL)
18	Mikael Andersson	Left Wing	Sweden	Buffalo Sabres	Västra Frölunda (Sweden)
19	Dave Pasin	Right Wing	Canada	Boston Bruins	Prince Albert Raiders (WHL)
20	Duncan MacPherson	Defence	Canada	New York Islanders	Saskatoon Blades (WHL)
21	Selmar Odelein	Defence	Canada	Edmonton Oilers	Regina Pats (WHL)
