Date	Opponent	Score	Loss	Attendance	Record
September 1	Mets	4-2	Gagné (4-3)	41,476	80-57
September 2	Mets	6-5 (10)	Torres (6-4)	36,587	80-58
September 3	Mets	9-2	Bush (9-10)	26,236	80-59
September 4	Padres	5-2	Suppan (10-8)	33,182	80-60
September 5	Padres	3-2 (11)	Falkenborg (2-3)	41,519	81-60
September 6	Padres	1-0	Peavy (9-10)	42,667	82-60
September 7	Padres	10-1	Parra (10-7)	44,568	82-61
September 8	Reds	5-4	Torres (6-5)	30,867	82-62
September 9	Reds	5-4 (11)	McClung (5-6)	30,312	82-63
September 10	Reds	4-3	Weathers (2-6)	30,124	83-63
September 11	@ Phillies	6-3	Sheets (13-8)	39,994	83-64
September 13	@ Phillies	7-3	Parra (10-8)	45,105	83-65
September 14	@ Phillies	7-3	Mota (5-6)	43,950	83-66
September 14	@ Phillies	6-1	Suppan (10-9)	39,776	83-67
September 16	@ Cubs	5-4	Sabathia (9-1)	40,738	83-68
September 17	@ Cubs	6-2	Marquis (10-9)	41,200	84-68
September 18	@ Cubs	7-6 (12)	Villanueva (4-7)	40,678	84-69
September 19	@ Reds	11-2	Suppan (10-10)	20,855	84-70
September 20	@ Reds	4-3	Sabathia (9-2)	24,440	84-71
September 21	@ Reds	8-1	Arroyo (15-11)	22,624	85-71
September 23	Pirates	7-5	Beam (2-2)	36,612	86-71
September 24	Pirates	4-2	Maholm (9-9)	31,164	87-71
September 25	Pirates	5-1 (10)	Chavez (0-1)	40,102	88-71
September 26	Cubs	5-1	Marshall (3-5)	44,084	89-71
September 27	Cubs	7-3	Sheets (13-9)	45,288	89-72
September 28	Cubs	3-1	Howry (7-5)	45,299	90-72
