Name	Country	Type	Moving from	Transfer window	Ends	Transfer fee	Source
Robinson	ENG	Free Agent	Swansea City	Summer	2011	Free	Leeds United Yorkshire Evening Post
Sheehan	IRE	Transferred 1	Leicester City	Summer	2011	Undisclosed	Leeds United
Showunmi	NGR ENG	Free Agent	Bristol City	Summer	2010	Free	Leeds United
Snodgrass	SCO	Free Agent 1	Livingston	Summer	2011	£ 35k 2	Leeds United
Becchio	ARG	Transferred	Mérida UD	Summer	2011	£300k 3	Leeds United
Telfer	SCO	Free Agent	Bournemouth	Summer	2009 4	Free	Leeds United
Christie	ENG	Free Agent	Middlesbrough	Summer	n/a 5	Free	Leeds United
Assoumani	MLI FRA	Free Agent	Sportfreunde Siegen	Summer	2009	Free	Leeds United
Grella	USA	Free Agent	Cary Clarets	Winter	2010	Free	Leeds United
Naylor	ENG	Transferred	Ipswich Town	Winter	2011	Free	Leeds United
