Res.	Record	Opponent	Method	Event	Round	Location
Loss	7-5	Gary Goodridge	Decision (split)	PRIDE 21	3	Saitama , Japan
Win	7-4	Mindaugas Kulikauskas	Decision	Rings Lithuania: Bushido Rings 3	2	Lithuania
Loss	6-4	Andrey Juravkov	Decision	BARS - BARS	3	Moscow , Russia
Win	6-3	Stanislav Nuschik	TKO	BARS - Moscow vs St. Petersburg	2	Moscow, Russia
Loss	5-3	Islam Dadalov	Decision	IAFC - Pankration Russian Championship 2001	N/A	Yaroslavl , Russia
Loss	5-2	Antônio Rodrigo Nogueira	Submission (armbar)	Rings: King of Kings 2000 Block A	1	Tokyo , Japan
Win	5-1	Vepcho Bardanashvili	Submission (achilles lock)	Rings: Russia vs. Georgia	1	Ekaterinburg , Russia
Win	4-1	Valentijn Overeem	Submission (achilles lock)	Rings Russia: Russia vs. The World	1	Ekaterinburg, Russia
Win	3-1	Vyacheslav Kiselyov	Submission (armbar)	IAFC - Pankration World Championship 2000 [Day 1]	1	Moscow, Russia
Loss	2-1	Lee Hasdell	TKO (kick)	Rings: King of Kings 1999 Block A	2	Tokyo, Japan
Win	2-0	Zabir Elbiev	TKO (cut)	IAFC - Pankration Russian Championship 1999	1	Russia
Win	1-0	Denis Shibankov	Submission (strikes)	IAFC - Pankration European Championship 1998	1	Moscow, Russia
