Year(s)	Commentator	Dual Commentator	Spokesperson	Channel
1994	Vadim Dolgachyov	No Dual Commentator	Arina Sharapova	Russia 1
1995	Unknown	No Dual Commentator	Marina Danielyan	Channel 1
1996	Vadim Dolgachyov	No Dual Commentator	Russia did not participate	Russia 1
1997	Philipp Kirkorov	No Dual Commentator	Arina Sharapova	Channel 1
1998	No Broadcast	No Dual Commentator	Russia did not participate	No Broadcast
1999	Aleksej Zhuravlev	Tatjana Godunova	Russia did not participate	Channel 1
2000	Aleksej Zhuravlev	Tatjana Godunova	Zhanna Agalakova	Channel 1
2001	Alexander Anatolievich	Konstantin Mikhailov	Larisa Verbickaya	Channel 1
2002	Yuriy Aksuta	Elena Batinova	Arina Sharapova	Channel 1
2003	Yuriy Aksuta	Elena Batinova	Yana Churikova	Channel 1
2004	Yuriy Aksuta	Elena Batinova	Yana Churikova	Channel 1
2005	Yuriy Aksuta	Elena Batinova	Yana Churikova	Channel 1
2006	Yuriy Aksuta	Tatjana Godunova	Yana Churikova	Channel 1
2007	Yuriy Aksuta	Elena Batinova	Yana Churikova	Channel 1
2008	Dmitriy Guberniyev	Olga Shelest	Oksana Fedorova	Russia 1
2010	Dmitriy Guberniyev	Olga Shelest	Oksana Fedorova	Russia 1
2011	Yuriy Aksuta	Yana Churikova	Dima Bilan	Channel 1
2012	Dmitriy Guberniyev	Olga Shelest	Oksana Fedorova	Russia 1
