Year	Team	Co-Drivers	Class	Pos.	Class Pos.
1983	Sorga S.A. / Joest Racing	Klaus Ludwig Bob Wollek	C	6th	6th
1984	New-Man Joest Racing	Jean-Louis Schlesser Maurizio de Narváez	C1	DNF	DNF
1990	Mazdaspeed Co. Ltd.	Dave Kennedy Pierre Dieudonné	GTP	DNF	DNF
1991	Mazdaspeed Co. Ltd. Oreca	Dave Kennedy Maurizio Sandro Sala	C2	6th	6th
1992	Trust Racing Team	George Fouché Steven Andskär	C2	5th	1st
1997	Joest Racing	Michele Alboreto Tom Kristensen	LMP	1st	1st
1998	Porsche AG Joest Racing	Michele Alboreto Yannick Dalmas	LMP1	DNF	DNF
1999	Audi Sport UK Ltd.	Stéphane Ortelli Christian Abt	LMGTP	DNF	DNF
2000	Johansson-Matthews Racing	Guy Smith Jim Matthews	LMP900	DNF	DNF
2001	Johansson Motorsport	Tom Coronel Patrick Lemarié	LMP900	DNF	DNF
2003	Champion Racing	Emanuele Pirro JJ Lehto	LMP900	3rd	1st
2006	Racing for Holland	Jan Lammers Alex Yoong	LMP1	DNF	DNF
2007	Arena Motorsports International	Hayanari Shimoda Tom Chilton	LMP1	DNQ	DNQ
2007	Courage Compétition	Jean-Marc Gounon Guillaume Moreau	LMP1	DNF	DNF
2008	Epsilon Euskadi	Jean-Marc Gounon Shinji Nakano	LMP1	DNF	DNF
2012	Gulf Racing Middle East	Fabien Giroix Ludovic Badey	LMP2	DNF	DNF
