Driver	Constructor	Laps	Time/Retired	Grid
Graham Hill	BRM	110	2:16:38.0	4
John Surtees	Ferrari	110	+ 30.5	2
Jo Siffert	Brabham - BRM	109	+ 1 lap	12
Richie Ginther	BRM	107	+ 3 laps	13
Walt Hansgen	Lotus - Climax	107	+ 3 laps	17
Trevor Taylor	BRP - BRM	106	+ 4 laps	15
Mike Spence Jim Clark	Lotus - Climax	102	Out of fuel	6
Mike Hailwood	Lotus - BRM	101	Oil Pipe	16
Dan Gurney	Brabham - Climax	69	Oil Pressure	3
Hap Sharp	Brabham - BRM	65	Not Classified	18
Lorenzo Bandini	Ferrari	58	Engine	8
Jim Clark Mike Spence	Lotus - Climax	54	Injection	1
Ronnie Bucknum	Honda	50	Overheating	14
Chris Amon	Lotus - BRM	47	Engine	11
Jo Bonnier	Brabham - Climax	37	wheel	9
Bruce McLaren	Cooper - Climax	27	Engine	5
Jack Brabham	Brabham - Climax	14	Engine	7
Phil Hill	Cooper - Climax	4	Ignition	19
Innes Ireland	BRP - BRM	2	Gearbox	10
