Outcome	Date	Tournament	Surface	Opponent in the final	Score in the final
Winner	1 April 1985	Seabrook Island , USA WTA Virginia Slims	Clay	Virginia Ruzici	6–3, 6–3
Runner-up	22 April 1985	Orlando , USA WTA Virginia Slims	Clay	Martina Navratilova	1–6, 0–6
Winner	4 November 1985	Hilversum , Netherlands WTA Virginia Slims	Carpet (I)	Carina Karlsson	6–3, 6–2
Winner	13 April 1987	Tokyo , Japan WTA Virginia Slims	Hard	Barbara Gerken	6–2, 6–3
Winner	5 October 1987	Athens , Greece WTA Virginia Slims	Clay	Julie Halard	6–0, 6–1
Runner-up	29 February 1988	San Antonio , USA WTA Tier IV	Hard	Steffi Graf	4–6, 1–6
Runner-up	25 July 1988	Hamburg , West Germany WTA Tier IV	Clay	Steffi Graf	4–6, 2–6
Winner	24 October 1988	Indianapolis , USA WTA Tier V	Hard (I)	Zina Garrison	6–3, 2–6, 6–2
Winner	24 July 1989	Båstad , Sweden WTA Tier V	Clay	Sabine Hack	6–1, 6–3
Runner-up	31 July 1989	Sofia , Bulgaria WTA Tier V	Clay	Isabel Cueto	2–6, 6–7 (3–7)
Winner	16 October 1989	Bayonne , France WTA Tier V	Hard (I)	Conchita Martínez	6–2, 6–2
Winner	30 October 1989	Indianapolis , USA WTA Tier V	Hard (I)	Raffaella Reggi	6–4, 6–4
Winner	26 March 1990	Houston , USA WTA Tier III	Clay	Arantxa Sánchez Vicario	6–1, 1–6, 6–4
Runner-up	16 April 1990	Tampa , USA WTA Tier III	Clay	Monica Seles	1–6, 0–6
Runner-up	30 July 1990	Montreal , Canada WTA Tier I	Hard	Steffi Graf	1–6, 7–6 (10–8) , 3–6
Runner-up	5 August 1991	Toronto , Canada WTA Tier I	Hard	Jennifer Capriati	2–6, 3–6
Runner-up	19 August 1991	Washington , USA WTA Tier II	Hard	Arantxa Sánchez Vicario	2–6, 5–7
Winner	11 November 1991	Indianapolis , USA WTA Tier IV	Hard (I)	Audra Keller	7–6 (7–1) , 6–2
Runner-up	1 November 1993	Quebec , Canada WTA Tier III	Hard (I)	Nathalie Tauziat	4–6, 1–6
Winner	31 October 1994	Quebec , Canada WTA Tier III	Carpet (I)	Brenda Schultz	6–3, 6–3
