Order	Episode	Original airdate	Timeslot	Viewers (100000s)	Nightly rank	Weekly rank
1	"818-Jklpuzo"	September 28, 2009	Monday 8:00 pm – 8:30 pm	13.27	6	16
2	"Whipped Unto the Third Generation"	October 19, 2009	Monday 7:30 pm – 8:00 pm	14.36	1	3
3	"Mmm, fish. Yum."	October 26, 2009	Monday 7:30 pm – 8:00 pm	14.38	2	6
4	"Laxative Tester, Horse Inseminator"	November 2, 2009	Monday 7:30 pm – 8:00 pm	13.69	2	8
5	"For the Sake of the Child"	November 9, 2009	Monday 7:30 pm – 8:00 pm	14.55	1	4
6	"Give Me Your Thumb"	November 16, 2009	Monday 7:30 pm – 8:00 pm	14.62	1	3
7	"Untainted by Filth"	November 23, 2009	Monday 7:30 pm – 8:00 pm	12.76	4	10
8	"Gorp. Fnark. Shmegle"	February 1, 2010	Monday 7:30 pm – 8:00 pm	15.19	1	3
9	"Captain Terry's Spray-On Hair"	February 8, 2010	Monday 7:30 pm – 8:00 pm	14.20	1	2
10	"That's Why They Call it Ball Room"	February 15, 2010	Monday 7:30 pm – 8:00 pm	13.26	3	8
11	"Warning, It's Dirty"	February 22, 2010	Monday 7:30 pm – 8:00 pm	13.97	1	1
