Name	Caps	Goals	First cap	Latest cap
Cafu	142	5	September 12, 1990	July 1, 2006
Roberto Carlos	125	11	February 26, 1992	July 1, 2006
Lúcio	105	4	November 15, 2000	September 5, 2011
Cláudio Taffarel	101	0	July 7, 1988	July 12, 1998
Djalma Santos	98	3	April 10, 1952	June 9, 1968
Ronaldo	98	62	March 23, 1994	June 7, 2011
Ronaldinho	97	33	June 26, 1999	April 24, 2013
Gilmar	94	0	March 1, 1953	June 12, 1969
Gilberto Silva	93	3	November 7, 2001	July 2, 2010
Pelé	92	77	July 7, 1957	July 18, 1971
Rivelino	92	26	November 16, 1965	June 24, 1978
