District	Incumbent	Party	First elected	Result	Candidates
Virginia 1	Robert Rutherford	Anti-Administration	1793	Re-elected	Robert Rutherford (DR) Daniel Morgan (F)
Virginia 2	Andrew Moore	Anti-Administration	1789	Re-elected	Andrew Moore (DR)
Virginia 4	Francis Preston	Anti-Administration	1793	Re-elected	Francis Preston (DR) Arthur Campbell
Virginia 5	George Hancock	Pro-Administration	1793	Re-elected	George Hancock (F)
Virginia 9	William B. Giles	Anti-Administration	1790	Re-elected	William B. Giles (DR)
Virginia 10	Carter B. Harrison	Anti-Administration	1793	Re-elected	Carter B. Harrison (DR)
Virginia 11	Josiah Parker	Pro-Administration	1789	Re-elected	Josiah Parker (F) Robert Cowper
Virginia 12	John Page	Anti-Administration	1789	Re-elected	John Page (DR)
Virginia 14	Francis Walker	Anti-Administration	1793	Retired Democratic-Republican hold	Samuel J. Cabell (DR)
Virginia 15	James Madison, Jr.	Anti-Administration	1789	Re-elected	James Madison, Jr. (DR)
Virginia 16	Anthony New	Anti-Administration	1793	Re-elected	Anthony New (DR)
Virginia 17	Richard Bland Lee	Pro-Administration	1789	Lost re-election Democratic-Republican gain	Richard Brent (DR) Richard Bland Lee (P)
Virginia 18	John Nicholas	Anti-Administration	1793	Re-elected	John Nicholas (DR)
