Week	Date	Opponent	Result	Attendance
1	September 13	Kansas City Chiefs	W 34–17	30,157
2	September 20	Denver Broncos	W 30–13	28,501
3	September 26	San Diego Chargers	W 30–3	40,167
4	October 3	Oakland Raiders	W 23–20	36,461
5	October 11	at Houston Oilers	W 48–17	26,218
6	October 18	at Kansas City Chiefs	W 35–22	20,904
7	October 24	New York Jets	W 34–24	39,621
8	November 1	Houston Oilers	W 24–10	40,119
9	November 8	at New York Jets	W 20–7	61,929
10	November 15	Boston Patriots	L 36–28	42,308
11	Bye	Bye	Bye	Bye
12	November 26	at San Diego Chargers	W 27–24	34,865
13	December 6	at Oakland Raiders	L 16–13	18,134
14	December 13	at Denver Broncos	W 30–19	14,431
15	December 20	at Boston Patriots	W 24–14	38,021
