Rank	Rider	Horse	Nation	Judge E	Judge C	Judge M	Penalty Points
1	Lucinda Fredericks	Headley Britannia	Australia	82.22	78.52	78.52	30.4
2	Karin Donckers	Gazelle de la Brasserie	Belgium	80.00	80.37	76.30	31.7
3	Ingrid Klimke	Abraxxas	Germany	78.52	78.89	75.56	33.5
4	Megan Jones	Irish Jester	Australia	76.30	78.15	74.81	35.4
5	Rebecca Holder	Courageous Comet	United States	75.56	75.93	77.04	35.7
6	Clayton Fredericks	Ben Along Time	Australia	78.15	72.22	75.56	37.0
7	Hinrich Romeike	Marius	Germany	75.19	74.44	75.56	37.4
8	Susanna Bordone	Ava	Italy	74.81	74.81	74.81	37.8
9	Mary King	Call Again Cavalier	Great Britain	74.44	74.07	75.19	38.1
10	Gina Miles	McKinlaigh	United States	74.81	74.44	72.22	39.3
11	Andreas Dibowski	Butts Leon	Germany	73.33	72.59	74.81	39.6
12	Roberto Rotatori	Irham de Viages	Italy	74.81	75.56	69.63	40.0
13	Kristina Cook	Miners Frolic	Great Britain	74.81	73.33	71.48	40.2
14	Phillip Dutton	Connaught	United States	72.22	70.74	75.93	40.6
15	Linda Algotsson	Stand By Me	Sweden	75.19	71.48	70.37	41.5
16	Karen O'Connor	Mandiba	United States	71.11	70.74	74.44	41.9
17	Didier Dhennin	Ismene du Temple	France	71.85	71.48	71.11	42.8
18	Sharon Hunt	Tankers Town	Great Britain	71.11	69.63	72.22	43.5
19	Joe Meyer	Snip	New Zealand	68.89	71.11	72.22	43.9
20	Selena O'Hanlon	Colombo	Canada	68.89	73.33	69.63	44.1
21	Frank Ostholt	Mr. Medicott	Germany	70.00	69.63	71.11	44.6
21	Andrew Nicholson	Lord Killinghurst	New Zealand	71.11	70.00	69.63	44.6
23	Sonja Johnson	Ringwould Jaguar	Australia	70.00	70.00	69.63	45.2
24	Amy Tryon	Poggio II	United States	69.63	70.74	66.67	46.5
24	Viktoria Carlerback	Bally's Geronimo	Sweden	69.63	68.15	69.26	46.5
26	Caroline Powell	Lenamore	New Zealand	68.52	65.93	69.63	48.0
27	Pawel Spisak	Weriusz	Poland	68.89	68.15	65.56	48.7
28	Tiziana Realini	Gamour	Switzerland	66.30	68.15	67.78	48.9
28	Mike Winter	King Pin	Canada	66.30	66.67	69.26	48.9
30	Mark Todd	Gandalf	New Zealand	65.56	67.78	67.78	49.4
31	Alex Hua Tian	Chico	China	69.63	68.52	62.59	49.6
31	Fabio Magni	Southern King V	Italy	65.56	65.93	69.26	49.6
33	Stefano Brecciaroli	Cappa Hill	Italy	67.04	65.56	67.41	50.0
34	William Fox-Pitt	Parkmore Ed	Great Britain	65.56	68.15	65.93	50.2
35	Vittoria Panizzon	Rock Model	Italy	66.30	67.41	65.19	50.6
35	Niall Griffin	Lorgaine	Ireland	65.93	66.67	66.30	50.6
37	Daisy Dick	Spring Along	Great Britain	66.30	65.56	64.81	51.7
38	Katrin Norling	Pandora	Sweden	65.56	63.33	67.04	52.0
38	Joris van Springel	Bold Action	Belgium	66.30	63.33	66.30	52.0
40	Oiwa Yoshiaki	Gorgeous George	Japan	65.93	63.70	65.56	52.4
41	Tim Lips	Oncarlos	Netherlands	66.67	65.56	62.59	52.6
42	Austin O'Connor	Hobby du Mee	Ireland	65.93	64.44	64.07	52.8
42	Jaroslav Hatla	Karla	Czech Republic	66.67	62.59	65.19	52.8
44	Eric Vigeanel	Coronado Prior	France	64.44	65.19	64.44	53.0
45	Peter Flarup	Silver Ray	Denmark	62.96	65.56	65.19	53.1
46	Peter Thomsen	The Ghost of Hamish	Germany	63.70	64.44	65.19	53.3
46	Shane Rose	All Luck	Australia	65.19	62.59	65.56	53.3
48	Magnus Gallerdal	Keymaster	Sweden	65.56	64.81	60.37	54.6
49	Heelan Tompkins	Sugoi	New Zealand	64.07	60.74	64.07	55.6
50	Harald Ambros	Quick	Austria	61.85	63.33	63.33	55.7
51	Jeferson Moreira	Escudeiro	Brazil	59.63	62.59	65.93	55.9
52	Samantha Albert	Before I Do It	Jamaica	62.22	63.33	61.85	56.3
53	Jean Renaud Adde	Haston d'Elpegere	France	60.37	62.96	62.96	56.9
54	Artur Spolowicz	Wag	Poland	60.00	64.07	61.85	57.0
55	Louise Lyons	Watership Down	Ireland	61.11	60.00	64.07	57.4
56	Viachaslau Poita	Energiya	Belarus	58.89	60.74	62.22	59.1
57	Andre Paro	Land Heir	Brazil	58.52	59.63	62.59	59.6
58	Sandra Donnelly	Buenos Aires	Canada	59.63	59.63	60.37	60.2
59	Geoffrey Curran	Kilkishen	Ireland	58.52	57.04	61.11	61.7
60	Sergio Iturriaga	Lago Rupanco	Chile	58.52	57.78	57.78	63.0
61	Kyle Carter	Madison Park	Canada	58.15	56.67	58.15	63.5
62	Valery Martyshev	Kinzhal	Russia	55.93	57.04	58.15	64.4
63	Marcelo Tosi	Super Rocky	Brazil	55.93	55.19	59.26	64.8
64	Igor Atrohov	Elkasar	Russia	55.56	54.07	60.00	65.2
65	Dag Albert	Tubber Rebel	Sweden	55.56	56.67	56.67	65.6
66	Samantha Taylor	Livewire	Canada	51.85	52.96	53.70	70.7
67	Alena Tseliapushkina	Passat	Belarus	48.52	45.93	50.74	77.4
68	Patricia Ryan	Fernhill Clover Mist	Ireland	47.78	47.04	47.78	78.7
69	Saulo Tristao	Totsie	Brazil	46.30	45.56	48.89	79.6
—	Nicolas Touzaint	Galan de Sauvagere	France	Withdrew	Withdrew	Withdrew	1000.00
