Team	Manager	Captain	Kit manufacturer	Shirt sponsor
Arsenal	Arsène Wenger	Tony Adams	Nike	Dreamcast
Aston Villa	John Gregory	Gareth Southgate	Diadora	NTL
Bradford City	Jim Jefferies	Stuart McCall	ASICS	JCT600
Charlton Athletic	Alan Curbishley	Mark Kinsella	Le Coq Sportif	Redbus
Chelsea	Claudio Ranieri	Marcel Desailly	Umbro	Autoglass
Coventry City	Gordon Strachan	Mustapha Hadji	CCFC Garments	Subaru
Derby County	Jim Smith	Darryl Powell	Puma AG	EDS
Everton	Walter Smith	Dave Watson	Puma	One2One
Ipswich Town	George Burley	Matt Holland	Punch	Greene King
Leeds United	David O'Leary	Lucas Radebe	Nike	Strongbow
Leicester City	Peter Taylor	Matt Elliott	Le Coq Sportif	Walkers Crisps
Liverpool	Gérard Houllier	Jamie Redknapp	Reebok	Carlsberg Group
Manchester City	Joe Royle	Alf-Inge Håland	Le Coq Sportif	Eidos
Manchester United	Alex Ferguson	Roy Keane	Umbro	Vodafone
Middlesbrough	Steve McClaren	Paul Ince	Erreà	BT Cellnet
Newcastle United	Bobby Robson	Alan Shearer	Adidas	Newcastle Brown Ale
Southampton	Stuart Gray	Matt Le Tissier	Saints	Friends Provident
Sunderland	Peter Reid	Michael Gray	Nike	Reg Vardy
Tottenham Hotspur	Glenn Hoddle	Sol Campbell	Adidas	Holsten
West Ham United	Glenn Roeder	Steve Lomas	Fila	Dr. Martens
