No. in series	Title	Directed by	Written by	Original air date	U.S. viewers (in millions)
1	" Pilot "	Mark Piznarski	Teleplay by: Josh Schwartz & Stephanie Savage	September19,2007	3.50
2	" The Wild Brunch "	Mark Piznarski	Josh Schwartz & Stephanie Savage	September26,2007	2.48
3	"Poison Ivy"	J. Miller Tobin	Felicia D. Henderson	October3,2007	2.75
4	"Bad News Blair"	Patrick Norris	Joshua Safran	October10,2007	2.80
5	"Dare Devil"	Jamie Babbit	Lenn K. Rosenfeld	October17,2007	2.41
6	"The Handmaiden's Tale"	Norman Buckley	Jessica Queller	October24,2007	2.54
7	"Victor, Victrola"	Tony Wharmby	K.J. Steinberg	November7,2007	2.52
10	" Hi, Society "	Patrick Norris	Joshua Safran	December5,2007	2.44
11	"Roman Holiday"	Michael Fields	Jessica Queller	December19,2007	1.81
12	"School Lies"	Tony Wharmby	Lenn K. Rosenfeld	January2,2008	2.19
13	" The Thin Line Between Chuck and Nate "	Norman Buckley	Felicia D. Henderson	January9,2008	2.27
14	"The Blair Bitch Project"	J. Miller Tobin	K.J. Steinberg	April21,2008	2.50
15	" Desperately Seeking Serena "	Michael Fields	Felicia D. Henderson	April28,2008	2.53
16	" All About My Brother "	Janice Cooke	Paul Sciarrotta	May5,2008	2.12
17	"Woman on the Verge"	Tony Wharmby	Joshua Safran	May12,2008	2.71
