Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 25	MasterCard Championship	Hawaii	1,600,000	Fuzzy Zoeller (2)	196 (-20)	268,000
Feb 8	Royal Caribbean Golf Classic	Florida	1,450,000	Bruce Fleisher (17)	210 (-6)	217,500
Feb 15	The ACE Group Classic	Florida	1,600,000	Craig Stadler (4)	206 (-10)	240,000
Feb 22	Outback Steakhouse Pro-Am	Florida	1,600,000	Mark McNulty (1)	200 (-13)	241,000
Mar 7	MasterCard Classic	Mexico	2,000,000	Ed Fiori (1)	210 (-6)	300,000
Mar 14	SBC Classic	California	1,500,000	Gil Morgan (23)	202 (-14)	225,000
Mar 21	Toshiba Senior Classic	California	1,600,000	Tom Purtzer (2)	198 (-15)	240,000
Apr 18	Blue Angels Classic	Florida	1,500,000	Tom Jenkins (5)	196 (-14)	225,500
Apr 25	Liberty Mutual Legends of Golf	Georgia	3,100,000	Hale Irwin (39)	205 (-11)	364,000
May 2	Bruno's Memorial Classic	Alabama	1,500,000	Bruce Fleisher (18)	200 (-16)	225,000
May 9	FedEx Kinko's Classic	Texas	1,600,000	Larry Nelson (18)	209 (-7)	240,000
May 23	Allianz Championship	Iowa	1,500,000	D. A. Weibring (2)	204 (-9)	225,000
May 31	Senior PGA Championship	Kentucky	2,000,000	Hale Irwin (40)	276 (-8)	360,000
Jun 6	Farmers Charity Classic	Michigan	1,600,000	Jim Thorpe (8)	203 (-13)	240,000
Jun 13	Bayer Advantage Celebrity Pro-Am	Missouri	1,650,000	Allen Doyle (9)	131 (-13)	247,500
Jun 27	Bank of America Championship	Massachusetts	1,550,000	Craig Stadler (5)	201 (-15)	232,500
Jul 4	Commerce Bank Long Island Classic	New York	1,500,000	Jim Thorpe (9)	201 (-9)	225,000
Jul 11	Ford Senior Players Championship	Michigan	2,500,000	Mark James (1)	275 (-13)	375,000
Jul 25	Senior British Open	Northern Ireland	1,832,400	Pete Oakley (1)	284 (-4)	289,153
Aug 1	U.S. Senior Open	Missouri	2,600,000	Peter Jacobsen (1)	272 (-12)	470,000
Aug 8	3M Championship	Minnesota	1,750,000	Tom Kite (7)	203 (-13)	262,500
Aug 22	Greater Hickory Classic at Rock Barn	North Carolina	1,600,000	Doug Tewell (8)	202 (-14)	240,000
Aug 29	JELD-WEN Tradition	Oregon	2,300,000	Craig Stadler (6)	275 (-13)	345,000
Sep 5	The First Tee Open at Pebble Beach	California	2,000,000	Craig Stadler (7)	201 (-15)	300,000
Sep 12	Kroger Classic	Ohio	1,500,000	Bruce Summerhays (3)	201 (-15)	225,000
Sep 26	SAS Championship	North Carolina	1,800,000	Craig Stadler (8)	199 (-17)	270,000
Oct 3	Constellation Energy Classic	Maryland	1,600,000	Wayne Levi (2)	200 (-16)	240,000
Oct 10	Administaff Small Business Classic	Texas	1,600,000	Larry Nelson (19)	202 (-14)	240,000
Oct 17	SBC Championship	Texas	1,500,000	Mark McNulty (2)	195 (-19)	240,000
Oct 24	Charles Schwab Cup Championship	California	2,500,000	Mark McNulty (3)	277 (-11)	440,000
