Week	Date	Opponent	Result	Attendance
1	September 3, 1978	at Denver Broncos	L 14–6	75,092
2	September 10, 1978	at San Diego Chargers	W 21–20	51,653
3	September 17, 1978	at Green Bay Packers	W 28–3	55,903
4	September 24, 1978	New England Patriots	L 21–14	52,904
5	October 1, 1978	at Chicago Bears	W 25–19	52,848
6	October 8, 1978	Houston Oilers	W 21–17	52,550
7	October 15, 1978	Kansas City Chiefs	W 28–6	50,759
8	October 22, 1978	at Seattle Seahawks	L 27–7	62,529
9	October 29, 1978	San Diego Chargers	L 27–23	52,612
10	November 5, 1978	at Kansas City Chiefs	W 20–10	75,418
11	November 13, 1978	at Cincinnati Bengals	W 34–21	51,374
12	November 19, 1978	Detroit Lions	W 29–17	44,517
13	November 26, 1978	Seattle Seahawks	L 17–16	52,978
14	December 3, 1978	Denver Broncos	L 21–6	53,932
15	December 10, 1978	at Miami Dolphins	L 23–6	73,003
16	December 17, 1978	Minnesota Vikings	W 27–20	44,643
