Tie no	Home team	Score	Away team	Date
1	Enfield	1–5	Bournemouth	5 December 1959
2	Bury	2–1	Oldham Athletic	5 December 1959
3	Rochdale	1–1	Bradford City	5 December 1959
Replay	Bradford City	2–1	Rochdale	9 December 1959
4	Southampton	3–0	Southend United	5 December 1959
5	Watford	5–1	Wycombe Wanderers	5 December 1959
6	Reading	4–2	King's Lynn	5 December 1959
7	Walsall	2–3	Peterborough United	5 December 1959
8	Gillingham	2–2	Torquay United	5 December 1959
Replay	Torquay United	1–2	Gillingham	9 December 1959
9	Notts County	0–1	Bath City	5 December 1959
10	Grimsby Town	2–3	Wrexham	5 December 1959
11	Doncaster Rovers	3–2	Darlington	5 December 1959
12	Stockport County	0–0	Crewe Alexandra	5 December 1959
Replay	Crewe Alexandra	2–0	Stockport County	9 December 1959
13	Queens Park Rangers	3–3	Port Vale	5 December 1959
Replay	Port Vale	2–1	Queens Park Rangers	7 December 1959
14	Crook Town	0–1	York City	5 December 1959
15	Exeter City	3–1	Brentford	5 December 1959
16	Mansfield Town	2–0	Chester	5 December 1959
17	Margate	0–0	Crystal Palace	5 December 1959
Replay	Crystal Palace	3–0	Margate	9 December 1959
18	Workington	1–0	Halifax Town	5 December 1959
19	South Shields	1–5	Bradford Park Avenue	5 December 1959
20	Salisbury	0–1	Newport County	5 December 1959
