Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
Date	Visitor	Score	Home	OT	Leading scorer	Attendance	Record
4 February 2008	Bobcats	104–118	Suns	NA	Leandro Barbosa (30)	18,422	34–14
6 February 2008	Hornets	132–130	Suns	2	Steve Nash (32)	18,422	34–15
8 February 2008	SuperSonics	99–103	Suns	NA	Amar'e Stoudemire (33)	18,422	35–15
10 February 2008	Wizards	107–108	Suns	NA	Amar'e Stoudemire (31)	18,422	36–15
13 February 2008	Suns	118–120	Warriors	NA	Amar'e Stoudemire (29)	19,754	36–16
14 February 2008	Mavericks	97–109	Suns	NA	Two-way tie (26)	18,422	37–16
20 February 2008	Lakers	130–124	Suns	NA	Amar'e Stoudemire (37)	18,422	37–17
22 February 2008	Celtics	77–85	Suns	NA	Amar'e Stoudemire (28)	18,422	38–17
24 February 2008	Pistons	116–86	Suns	NA	Amar'e Stoudemire (31)	18,422	38–18
26 February 2008	Suns	127–113	Grizzlies	NA	Two-way tie (25)	13,482	39–18
27 February 2008	Suns	103–120	Hornets	NA	Amar'e Stoudemire (32)	17,931	39–19
