Name	Pada 1	Pada 2	Pada 3	Pada 4
Ashwini (अश्विनि)	चु Chu	चे Che	चो Cho	ला La
Bharani (भरणी)	ली Li	लू Lu	ले Le	लो Lo
Kritika (कृत्तिका)	अ A	ई I	उ U	ए E
Rohini(रोहिणी)	ओ O	वा Va/Ba	वी Vi/Bi	वु Vu/Bu
Mrigashīrsha (म्रृगशीर्षा)	वे Ve/Be	वो Vo/Bo	का Ka	की Ke
Ārdrā (आर्द्रा)	कु Ku	घ Gha	ङ Ng/Na	छ Chha
Punarvasu (पुनर्वसु)	के Ke	को Ko	हा Ha	ही Hi
Pushya (पुष्य)	हु Hu	हे He	हो Ho	ड Da
Āshleshā (आश्लेषा)	डी Di	डू Du	डे De	डो Do
Maghā (मघा)	मा Ma	मी Mi	मू Mu	मे Me
Pūrva or Pūrva Phalgunī (पूर्व फाल्गुनी)	नो Mo	टा Ta	टी Ti	टू Tu
Uttara or Uttara Phalgunī (उत्तर फाल्गुनी)	टे Te	टो To	पा Pa	पी Pi
Hasta (हस्त)	पू Pu	ष Sha	ण Na	ठ Tha
Chitra (चित्रा)	पे Pe	पो Po	रा Ra	री Ri
Svātī (स्वाति)	रू Ru	रे Re	रो Ro	ता Ta
Viśākhā (विशाखा)	ती Ti	तू Tu	ते Te	तो To
Anurādhā (अनुराधा)	ना Na	नी Ni	नू Nu	ने Ne
Jyeshtha (ज्येष्ठा)	नो No	या Ya	यी Yi	यू Yu
Mula (मूल)	ये Ye	यो Yo	भा Bha	भी Bhi
Pūrva Ashādhā (पूर्वाषाढ़ा)	भू Bhu	धा Dha	फा Bha/Pha	ढा Dha
Uttara Aṣāḍhā (उत्तराषाढ़ा)	भे Bhe	भो Bho	जा Ja	जी Ji
Śrāvaṇa (श्र‌ावण)	खी Ju/Khi	खू Je/Khu	खे Jo/Khe	खो Gha/Kho
Śrāviṣṭha (श्रविष्ठा) or Dhanishta	गा Ga	गी Gi	गु Gu	गे Ge
Shatabhisha (शतभिषा)or Śatataraka	गो Go	सा Sa	सी Si	सू Su
Pūrva Bhādrapadā (पूर्वभाद्रपदा)	से Se	सो So	दा Da	दी Di
Uttara Bhādrapadā (उत्तरभाद्रपदा)	दू Du	थ Tha	झ Jha	ञ Da/Tra
Revati (रेवती)	दे De	दो Do	च Cha	ची Chi
