Round	Pick	Name	Position	School
1	25	Rod Hill	Cornerback	Kentucky State
2	53	Jeff Rohrer	Linebacker	Yale
3	81	Jim Eliopulos	Linebacker	Wyoming
4	101	Brian Carpenter	Defensive Back	Michigan
4	109	Monty Hunter	Defensive Back	Salem (WV)
5	137	Phil Pozderac	Offensive Tackle	Notre Dame
6	143	Ken Hammond	Offensive Guard	Vanderbilt
6	165	Charles Daum	Defensive Tackle	Cal Poly-SLO
7	193	Bill Purifoy	Defensive End	Tulsa
8	216	George Peoples	Running Back	Auburn
8	221	Dwight Sullivan	Running Back	North Carolina State
9	249	Joe Gary	Defensive Tackle	UCLA
10	277	Todd Eckerson	Offensive Tackle	North Carolina State
11	295	George Thompson	Tight End	Albany State (GA)
11	304	Mike Whiting	Running Back	Florida State
12	332	Rich Burtness	Offensive Guard	Montana
