Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Winners	22 July 1985	Indianapolis , USA WTA Virginia Slims	Clay	Manuela Maleeva	Penny Barg Paula Smith	3–6, 6–3, 6–4
Runners-up	8 September 1986	Tokyo , Japan WTA Virginia Slims	Carpet (I)	Manuela Maleeva	Bettina Bunge Steffi Graf	1–6, 7–6 (9–7) , 2–6
Runners-up	14 September 1987	Tokyo , Japan WTA Virginia Slims	Carpet (I)	Manuela Maleeva	Anne White Robin White	1–6, 2–6
Runners-up	11 July 1988	Brussels , Belgium WTA Tier V	Clay	Raffaella Reggi	Mercedes Paz Tine Scheuer-Larsen	6–7 (3–7) , 1–6
Runners-up	8 August 1988	Sofia , Bulgaria WTA Tier V	Hard (I)	Sabrina Goleš	Conchita Martínez Barbara Paulus	6–1, 1–6, 4–6
Runners-up	24 July 1989	Båstad , Sweden WTA Tier V	Clay	Sabrina Goleš	Mercedes Paz Tine Scheuer-Larsen	2–6, 5–7
Winners	3 February 1992	Essen , Germany WTA Tier II	Carpet (I)	Barbara Rittner	Sabine Appelmans Claudia Porwik	7–5, 6–3
Runners-up	4 May 1992	Rome , Italy WTA Tier I	Clay	Barbara Rittner	Monica Seles Helena Suková	1–6, 2–6
Runners-up	1 November 1993	Quebec , Canada WTA Tier III	Hard (I)	Nathalie Tauziat	Katrina Adams Manon Bollegraf	4–6, 4–6
Runners-up	29 August 1994	US Open	Hard	Robin White	Jana Novotná Arantxa Sánchez Vicario	3–6, 3–6
