Date	Time	Score	Set 1	Set 2	Set 3	Total
01 Jun	14:00	3–1	23–25	26–24	25–19	99–89
01 Jun	16:35	0–3	18–25	20–25	18–25	56–75
02 Jun	12:00	1–3	25–20	23–25	25–27	97–98
02 Jun	14:00	3–0	25–14	25–17	25–14	75–45
02 Jun	16:00	0–3	22–25	21–25	24–26	67–76
03 Jun	12:00	0–3	16–25	14–25	22–25	52–75
03 Jun	14:00	3–1	23–25	25–19	25–18	98–80
03 Jun	16:00	1–3	28–26	17–25	16–25	81–101
04 Jun	12:00	3–2	25–21	22–25	25–16	110–100
04 Jun	14:00	3–0	25–19	25–21	25–22	75–62
04 Jun	16:00	0–3	21–25	23–25	18–25	62–75
05 Jun	14:00	0–3	19–25	20–25	15–25	54–75
05 Jun	16:00	3–0	25–17	25–12	25–17	75–46
06 Jun	12:00	3–0	25–14	25–20	25–16	75–50
06 Jun	14:00	3–2	23–25	19–25	25–22	107–99
06 Jun	16:00	3–0	25–22	25–19	25–21	75–62
07 Jun	12:00	0–3	15–25	16–25	15–25	46–75
07 Jun	14:00	0–3	19–25	9–25	19–25	47–75
07 Jun	16:00	3–1	25–14	25–17	24–26	99–73
08 Jun	12:00	0–3	15–25	21–25	14–25	50–75
08 Jun	14:00	3–2	25–9	25–19	24–26	114–88
