Round	Pick	Player	Position	School/Club Team
1	7	Willie Buchanon	Cornerback	San Diego State
1	11 (From San Diego Chargers )	Jerry Tagge	Quarterback	Nebraska
2	34	Chester Marcol	Placekicker	Hillsdale
4	86	Eric Patton	Linebacker	Notre Dame
6	138	Nathaniel Ross	Defensive Back	Bethune-Cookman
6	147	Bob Hudson	Running Back	Northeastern State
7	163	Bill Bushong	Defensive Tackle	Kentucky
8	190	Leland Glass	Wide Receiver	Oregon
10	242	Keith Wortman	Guard	Nebraska
11	266	David Bailey	Wide Receiver	Alabama
12	294	Mike Rich	Running Back	Florida
13	319	Jesse Lakes	Running Back	Central Michigan
14	246	Larry Hefner	Linebacker	Clemson
15	371	Rick Thone	Wide Receiver	Arkansas Tech
16	398	Charles Burrell	Defensive Tackle	Arkansas AM&N
