Date	Opponent	Score	Loss	Attendance	Record
August 1	Indians	7 - 5	Shaw (0-4)	50,275	59-44
August 2	@ Red Sox	5 - 3	Candiotti (9-11)	34,032	59-45
August 3	@ Red Sox	4 - 1	Wells (12-6)	34,015	59-46
August 4	@ Red Sox	2 - 1	Lamp (3-3)	33,809	60-46
August 6	Tigers	2 - 1	Cerutti (1-4)	50,305	61-46
August 7	Tigers	5 - 2	Tanana (8-8)	50,324	62-46
August 8	Tigers	4 - 0 (14)	Henke (0-1)	50,307	62-47
August 9	Red Sox	12 - 7	Wells (12-7)	50,319	62-48
August 10	Red Sox	7 - 1	Stottlemyre (10-5)	50,304	62-49
August 11	Red Sox	9 - 6	Key (12-7)	50,297	62-50
August 12	Red Sox	11 - 8	Ward (5-4)	50,305	62-51
August 13	@ Brewers	5 - 4	Henke (0-2)	22,996	62-52
August 14	@ Brewers	5 - 3	Wells (12-8)	19,193	62-53
August 15	@ Brewers	4 - 1	Plesac (1-5)	24,519	63-53
August 16	@ Tigers	5 - 2	Key (12-8)	43,186	63-54
August 17	@ Tigers	7 - 5	Aldred (0-2)	46,634	64-54
August 18	@ Tigers	4 - 2	Kaiser (0-1)	48,724	65-54
August 20	Brewers	3 - 1	Bosio (9-9)	50,311	66-54
August 21	Brewers	3 - 0	Key (12-9)	50,306	66-55
August 22	Brewers	8 - 7	Ward (5-5)	50,309	66-56
August 23	Yankees	6 - 5	Farr (3-4)	50,318	67-56
August 24	Yankees	6 - 5	Wells (12-9)	50,324	67-57
August 25	Yankees	11 - 7	Guetterman (2-2)	50,320	68-57
August 26	@ Orioles	5 - 2	Johnson (4-5)	28,063	69-57
August 27	@ Orioles	6 - 1	Rhodes (0-1)	25,090	70-57
August 28	@ Orioles	3 - 0	McDonald (5-8)	28,262	71-57
August 29	@ Yankees	6 - 2	Johnson (5-8)	19,344	72-57
August 30	@ Yankees	9 - 2	Stottlemyre (12-6)	19,393	72-58
August 31	@ Yankees	5 - 0	Cadaret (6-5)	28,932	73-58
