Title	Directed by	Written by	Original air date	Production code
" Los Angeles "	Don Colliver	Peter Field Rachael Ray	April1,2002	AD1A01
" Napa "	Don Colliver	Peter Field Rachael Ray	April24,2002	AD1A03
" Florida Keys "	Don Colliver	Peter Field Rachael Ray	May1,2002	AD1A06
" Vancouver "	Don Colliver	Peter Field Rachael Ray	May15,2002	AD1A08
" San Francisco "	Don Colliver	Peter Field Rachael Ray	May22,2002	AD1A02
" Orlando "	Don Colliver	Peter Field Rachael Ray	May29,2002	AD1A05
" Seattle "	Don Colliver	Peter Field Rachael Ray	June5,2002	AD1A09
" Miami "	Don Colliver	Peter Field Rachael Ray	June12,2002	AD1A07
" Monterey "	Don Colliver	Peter Field Rachael Ray	June19,2002	AD1A04
" Portland "	Don Colliver	Peter Field Rachael Ray	June26,2002	AD1A10
" San Diego "	Don Colliver	Peter Field Rachael Ray	July10,2002	AD1A12
" Las Vegas "	Don Colliver	Peter Field Rachael Ray	July17,2002	AD1A11
" Santa Barbara "	Don Colliver	Peter Field Rachael Ray	July28,2002	AD1A13
" Rome "	Don Colliver	Peter Field Rachael Ray	August14,2002	AD1A17
" Paris "	Don Colliver	Peter Field Rachael Ray	October2,2002	AD1A14
" Amsterdam "	Don Colliver	Peter Field Rachael Ray	October9,2002	AD1A16
" Cooperstown "	Don Colliver	Peter Field Rachael Ray	October16,2002	AD1A26
" Florence "	Don Colliver	Peter Field Rachael Ray	October23,2002	AD1A19
" Charleston "	Don Colliver	Peter Field Rachael Ray	October28,2002	AD1A21
" Tuscany "	Don Colliver	Peter Field Rachael Ray	November6,2002	AD1A18
" Savannah "	Don Colliver	Peter Field Rachael Ray	November28,2002	AD1A20
" Atlanta "	Don Colliver	Peter Field Rachael Ray	December4,2002	AD1A22
" New York City "	Don Colliver	Peter Field Rachael Ray	January8,2003	AD1A25
" Philadelphia "	Don Colliver	Peter Field Rachael Ray	January15,2003	AD1A24
" Washington, D.C. "	Don Colliver	Peter Field Rachael Ray	January29,2003	AD1A23
" Brussels "	Don Colliver	Peter Field Rachael Ray	February12,2003	AD1A15
