Congress	Bill number(s)	Date introduced	Sponsor(s)	# of cosponsors
107th Congress	H.J.Res. 93	May 15, 2002	Ronnie Shows (D-MS)	22
108th Congress	H.J.Res. 56	May 21, 2003	Marilyn Musgrave (R-CO)	131
108th Congress	S.J.Res. 43	Nov 25, 2003	Wayne Allard (R-CO)	10
108th Congress	S.J.Res. 40	July 7, 2004	Wayne Allard (R-CO)	19
108th Congress	H.J.Res. 106	September 23, 2004	Marilyn Musgrave (R-CO)	121
109th Congress	S.J.Res. 1	January 24, 2005	Wayne Allard (R-CO)	32
109th Congress	H.J.Res. 88	June 6, 2006	Marilyn Musgrave (R-CO)	134
110th Congress	H.J.Res. 89	May 22, 2008	Paul Broun (R-GA)	91
110th Congress	S.J.Res. 43	June 25, 2008	Roger Wicker (R-MS)	17
113th Congress	H.J.Res. 51	June 28, 2013	Tim Huelskamp (R-KS)	51
