Date	Tournament	Location	Winner	Score	1st prize ( $ )
Jan 12	Phoenix Open	Arizona	Johnny Miller (12)	260 (–24)	30,000
Jan 19	Dean Martin Tucson Open	Arizona	Johnny Miller (13)	263 (–25)	40,000
Jan 26	Bing Crosby National Pro-Am	California	Gene Littler (26)	280 (–8)	37,000
Feb 2	Hawaiian Open	Hawaii	Gary Groh (1)	274 (–14)	44,000
Feb 9	Bob Hope Desert Classic	California	Johnny Miller (14)	339 (–21)	32,000
Feb 16	Andy Williams-San Diego Open Invitational	California	J. C. Snead (4)	279 (–9)	34,000
Feb 23	Glen Campbell-Los Angeles Open	California	Pat Fitzsimons (1)	275 (–9)	30,000
Mar 2	Jackie Gleason-Inverrary Classic	Florida	Bob Murphy (4)	273 (–15)	52,000
Mar 9	Florida Citrus Open	Florida	Lee Trevino (20)	276 (–12)	40,000
Mar 16	Doral-Eastern Open	Florida	Jack Nicklaus (55)	276 (–12)	30,000
Mar 23	Greater Jacksonville Open	Florida	Larry Ziegler (2)	276 (–12)	30,000
Mar 30	Sea Pines Heritage Classic	South Carolina	Jack Nicklaus (56)	271 (–13)	40,000
Apr 6	Greater Greensboro Open	North Carolina	Tom Weiskopf (11)	275 (–9)	45,000
Apr 13	Masters Tournament	Georgia	Jack Nicklaus (57)	276 (–12)	40,000
Apr 20	Pensacola Open	Florida	Jerry McGee (1)	271 (–13)	25,000
Apr 27	MONY Tournament of Champions	California	Al Geiberger (6)	277 (–11)	40,000
Apr 27	Tallahassee Open	Florida	Rik Massengale (1)	274 (–14)	12,000
May 4	Houston Open	Texas	Bruce Crampton (14)	273 (–15)	30,000
May 12	Byron Nelson Golf Classic	Texas	Tom Watson (2)	269 (–19)	35,000
May 18	First NBC New Orleans Open	Louisiana	Billy Casper (51)	271 (–17)	30,000
May 25	Danny Thomas Memphis Classic	Tennessee	Gene Littler (27)	270 (–18)	35,000
Jun 1	Atlanta Classic	Georgia	Hale Irwin (4)	271 (–17)	45,000
Jun 8	Kemper Open	North Carolina	Raymond Floyd (6)	278 (–10)	50,000
Jun 15	IVB-Philadelphia Golf Classic	Pennsylvania	Tom Jenkins (1)	275 (–9)	30,000
Jun 23	U.S. Open	Illinois	Lou Graham (3)	287 (+3)	40,000
Jun 30	Western Open	Illinois	Hale Irwin (5)	283 (–1)	40,000
Jul 5	Greater Milwaukee Open	Wisconsin	Art Wall, Jr. (14)	271 (–17)	26,000
Jul 13	British Open	Scotland	Tom Watson (3)	279 (–9)	16,500
Jul 13	Ed McMahon-Jaycees Quad Cities Open	Illinois	Roger Maltbie (1)	275 (–9)	15,000
Jul 20	Pleasant Valley Classic	Massachusetts	Roger Maltbie (2)	276 (–8)	40,000
Jul 27	Canadian Open	Canada	Tom Weiskopf (12)	274 (–6)	40,000
Aug 3	Westchester Classic	New York	Gene Littler (28)	271 (–17)	50,000
Aug 10	PGA Championship	Ohio	Jack Nicklaus (58)	276 (–4)	45,000
Aug 17	Sammy Davis Jr.-Greater Hartford Open	Connecticut	Don Bies (1)	267 (–17)	40,000
Aug 24	Tournament Players Championship	Texas	Al Geiberger (7)	270 (–10)	50,000
Sep 1	B.C. Open	New York	Don Iverson (1)	274 (–10)	35,000
Sep 7	Southern Open	Georgia	Hubert Green (8)	264 (–16)	20,000
Sep 14	World Open Golf Championship	North Carolina	Jack Nicklaus (59)	280 (–4)	40,000
Sep 28	Sahara Invitational	Nevada	Dave Hill (12)	270 (–14)	27,000
Oct 5	Kaiser International Open Invitational	California	Johnny Miller (15)	272 (–16)	35,000
Oct 19	San Antonio Texas Open	Texas	Don January (9)	275 (–13)	25,000
Oct 26	Walt Disney World National Team Championship	Florida	Jim Colbert (5) Dean Refram (2)	252 (–36)	20,000 (each)
