Week	Date	Opponent	Result	Attendance
1	September 4, 1994	Cleveland Browns	L 20–28	52,778
2	September 11, 1994	at San Diego Chargers	L 10–27	53,217
3	September 18, 1994	New England Patriots	L 28–31	46,640
4	September 25, 1994	at Houston Oilers	L 13–20	44,253
5	October 2, 1994	Miami Dolphins	L 7–23	55,056
6	Bye	Bye	Bye	Bye
7	October 16, 1994	at Pittsburgh Steelers	L 10–14	55,353
8	October 23, 1994	at Cleveland Browns	L 13–37	77,588
9	October 30, 1994	Dallas Cowboys	L 20–23	57,096
10	November 6, 1994	at Seattle Seahawks	W 20–17	46,630
11	November 13, 1994	Houston Oilers	W 34–31	54,908
12	November 20, 1994	Indianapolis Colts	L 13–17	55,566
13	November 27, 1994	at Denver Broncos	L 13–15	69,714
14	December 4, 1994	Pittsburgh Steelers	L 15–38	53,401
15	December 11, 1994	at New York Giants	L 20–27	67,530
16	December 18, 1994	at Arizona Cardinals	L 7–28	50,110
17	December 24, 1994	Philadelphia Eagles	W 33–30	39,923
