Place	Player	Country	Score	To par	Money ( $ )
1	Jeff Sluman	United States	69-70-68-65=272	–12	160,000
2	Paul Azinger	United States	67-66-71-71=275	–9	100,000
T3	Tom Kite	United States	72-68-71-67=278	–6	70,000
T3	Tsuneyuki Nakajima	Japan	69-68-74-67=278	–6	70,000
5	Nick Faldo	England	67-71-70-71=279	–5	45,800
T6	Bob Gilder	United States	66-75-71-68=280	–4	32,500
T6	Dave Rummells	United States	73-64-68-75=280	–4	32,500
8	Dan Pohl	United States	69-71-70-71=281	–3	28,000
T9	Raymond Floyd	United States	68-68-74-72=282	–2	21,500
T9	Steve Jones	United States	69-68-72-73=282	–2	21,500
T9	Kenny Knox	United States	72-69-68-73=282	–2	21,500
T9	Mark O'Meara	United States	70-71-70-71=282	–2	21,500
T9	Greg Norman	Australia	68-71-72-71=282	–2	21,500
T9	Payne Stewart	United States	70-69-70-73=282	–2	21,500
