Week	Date	Opponent	Result	Attendance
1	September 21, 1975	New Orleans Saints	W 41-3	54,414
2	September 28, 1975	New York Giants	W 49-13	54,953
3	October 5, 1975	at Philadelphia Eagles	L 26-10	64,397
4	October 13, 1975	St. Louis Cardinals	W 27-17	54,693
5	October 19, 1975	at Houston Oilers	L 13-10	49,566
6	October 26, 1975	at Cleveland Browns	W 23-7	56,702
7	November 2, 1975	Dallas Cowboys	W 30-24	55,004
8	November 9, 1975	at New York Giants	W 21-13	57,242
9	November 16, 1975	at St. Louis Cardinals	L 20-17	49,919
10	November 23, 1975	Oakland Raiders	L 26-23	53,582
11	November 30, 1975	Minnesota Vikings	W 31-30	54,498
12	December 7, 1975	at Atlanta Falcons	W 30-27	52,809
13	December 13, 1975	at Dallas Cowboys	L 31-10	61,091
14	December 21, 1975	Philadelphia Eagles	L 26-3	49,385
