Week	Date	Opponent	Result	Attendance
1	September 3, 1995	New York Jets	W 52–14	71,317
2	September 10, 1995	at New England Patriots	W 20–3	60,239
3	September 18, 1995	Pittsburgh Steelers	W 23–10	72,874
4	Bye	Bye	Bye	Bye
5	October 1, 1995	at Cincinnati Bengals	W 26–23	52,671
6	October 8, 1995	Indianapolis Colts	L 27–24	68,471
7	October 15, 1995	at New Orleans Saints	L 33–30	55,628
8	October 22, 1995	at New York Jets	L 17–16	67,228
9	October 29, 1995	Buffalo Bills	W 23–6	71,060
10	November 6, 1995	at San Diego Chargers	W 24–14	61,966
11	November 12, 1995	New England Patriots	L 34–17	70,399
12	November 20, 1995	San Francisco 49ers	L 44–20	73,080
13	November 26, 1995	at Indianapolis Colts	L 36–28	60,414
14	December 3, 1995	Atlanta Falcons	W 21–20	63,395
15	December 11, 1995	Kansas City Chiefs	W 13–6	70,321
16	December 17, 1995	at Buffalo Bills	L 23–20	79,531
17	December 24, 1995	at St. Louis Rams	W 41–22	63,876
