Week	Date	Opponent	Result	Attendance
1	September 3, 1978	at Cincinnati Bengals	W 24–23	41,810
2	September 10, 1978	Houston Oilers	L 20–17	40,213
3	September 17, 1978	at New York Giants	L 26–10	70,546
4	September 24, 1978	Denver Broncos	L 23–17	60,593
5	October 1, 1978	at Buffalo Bills	L 28–13	47,310
6	October 8, 1978	Tampa Bay Buccaneers	L 30–13	38,201
7	October 15, 1978	at Oakland Raiders	L 28–6	50,759
8	October 22, 1978	Cleveland Browns	W 17–3	41,157
9	October 29, 1978	at Pittsburgh Steelers	L 27–24	48,185
10	November 5, 1978	Oakland Raiders	L 20–10	75,418
11	November 12, 1978	at San Diego Chargers	L 29–23	41,395
12	November 19, 1978	Seattle Seahawks	L 13–10	35,252
13	November 26, 1978	San Diego Chargers	W 23–0	26,248
14	December 3, 1978	Buffalo Bills	W 14–10	25,781
15	December 10, 1978	at Denver Broncos	L 24–3	74,149
16	December 17, 1978	at Seattle Seahawks	L 23–19	58,490
