Week	Date	Opponent	Result	Attendance
1	October 10, 1943	Brooklyn Dodgers	W 27-0	35,450
2	October 17, 1943	at Green Bay Packers	W 33-7	23,058
3	October 24, 1943	Chicago Cardinals	W 13-7	35,450
4	October 31, 1943	at Brooklyn Dodgers	W 48-10	11,471
5	November 7, 1943	at Steagles	T 14-14	28,893
6	November 14, 1943	Detroit Lions	W 42-20	35,450
7	November 21, 1943	Chicago Bears	W 21-7	35,671
8	November 28, 1943	Steagles	L 27-14	35,826
9	December 5, 1943	at New York Giants	L 14-10	35,826
10	December 12, 1943	New York Giants	L 31-7	35,540
