Nat.	Name	Moving to	Type	Transfer window	Transfer fee	Source
ESP	Parejo	Queens Park Rangers	Loaned Out	Summer	n/a	Realmadrid
ARG	Garay	RacingSantander	Loaned Out	Summer	n/a	Realmadrid
ESP	González	Getafe	Transfer	Summer	€ 2.2M	Getafecf
ITA	Cassano	Sampdoria	Transfer	Summer	Free	Realmadrid
EQG	Balboa	Benfica	Transfer	Summer	€ 4.5M	Realmadrid 0 Benfica
ESP	Granero	Getafe	Transfer	Summer	€ 5M	Realmadrid 0 Getafecf
ESP	Soldado	Getafe	Transfer	Summer	€ 4M	Realmadrid
BRA	J. Baptista	Roma	Transfer	Summer	€ 12M	Realmadrid 0 ASRoma
BRA	Robinho	Manchester City	Transfer	Summer	€ 42M	Realmadrid 0 mcfc.co.uk
URY	García	P.A.O.K.	End of contract	Summer	Free	Realmadrid
