Title	Series	Director	Production Num.	Release date
Mr. and Mrs. Is the Name	MM	Friz Freleng	6611	1935-01-19
The Country Boy	MM	Friz Freleng	6679	1935-02-02
Buddy's Theatre	LT	Ben Hardaway	6680	1935-02-09
I Haven't Got a Hat	MM	Friz Freleng	6681	1935-03-02
Buddy's Pony Express	LT	Ben Hardaway	6757	1935-03-09
Buddy of the Legion	LT	Ben Hardaway	6612	1935-04-06
Along Flirtation Walk	MM	Friz Freleng	6758	1935-04-06
My Green Fedora	MM	Friz Freleng	6760	1935-04-27
Buddy's Lost World	LT	Jack King	6805	1935-05-18
Into Your Dance	MM	Friz Freleng	6806	1935-06-08
Buddy's Bug Hunt	LT	Jack King	6860	1935-06-22
Buddy in Africa	LT	Ben Hardaway	6759	1935-07-06
The Country Mouse	MM	Friz Freleng	6857, BR 1311	1935-07-13
Buddy Steps Out	LT	Jack King	6861	1935-07-20
The Merry Old Soul	MM	Friz Freleng	6925, BR 1262	1935-08-17
Buddy the Gee Man	LT	Jack King	6926	1935-08-24
The Lady in Red	MM	Friz Freleng	6927, BR 1263	1935-09-07
A Cartoonist's Nightmare	LT	Jack King	6982	1935-09-14
Hollywood Capers	LT	Jack King	6998	1935-10-12
Little Dutch Plate	MM	Friz Freleng	6983, BR 1312	1935-10-19
Gold Diggers of '49	LT	Tex Avery	7041	1935-11-02
Billboard Frolics	MM	Friz Freleng	6999	1935-11-16
Flowers for Madame	MM	Friz Freleng	7001, BR 1236	1935-12-14
