Peak	Location	Height (m)	Prominence (m)	Col (m)
Mount Ruapehu	New Zealand ( North Island )	2,797	2,797	0
Huascarán	Peru	6,746	2,776	3,970
Mount Elbert	United States ( Colorado )	4,401	2,772	1,629
Pic de la Selle	Haiti	2,680	2,650	30
San Jacinto Peak	United States ( California )	3,302	2,533	982
Qurnat as Sawda'	Lebanon	3,088	2,393	695
Mount Sidley	Antarctica	4,285	2,517	1,768
Anamudi	India	2,695	2,479	216
Corno Grande	Italy	2,912	2,476	436
Musala	Bulgaria	2,925	2,473	452
Vihren	Bulgaria	2,914	2,462	452
Mount Bazardüzü	Azerbaijan / Russia	4,466	2,454	2012
Illimani	Bolivia	6,438	2,451	3,987
Großglockner	Austria	3,798	2,423	1,375
Galdhøpiggen	Norway	2,469	2,372	97
Mount Olympos	Greece	2,919	2,355	564
Gerlachovský štít	Slovakia	2,655	2,355	300
Mount Hood	United States ( Oregon )	3,426	2,349	1,077
Finsteraarhorn	Switzerland	4,274	2,280	1,994
Piz Bernina	Switzerland	4,049	2,234	1,815
Mount Kosciuszko	Australia	2,228	2,228	0
Monte Rosa	Switzerland	4,634	2,165	2,469
Hvannadalshnúkur	Iceland	2,110	2,110	0
Triglav	Slovenia	2,864	2,052	812
Moldoveanu Peak	Romania	2,544	2,046	498
Mount Olympus	Cyprus	1,952	1,952	0
Mount Washington	United States ( New Hampshire )	1,917	1,874	43
Hermon	Lebanon / Syria	2,814	1,804	1010
Zugspitze	Germany / Austria	2,962	1,746	1,216
Dunn Peak	Canada ( British Columbia )	2,636	1,531	1,105
Mount Pelée	France ( Martinique )	1,397	1,397	0
Ben Nevis	United Kingdom ( Scotland )	1,344	1,344	0
Kailash	China (Tibet)	6,638	1,319	5,319
Pica d'Estats	Spain / France	3,143	1,277	1,866
Machhapuchhare	Nepal	6,993	1,233	5,760
Carrauntoohil	Ireland	1,038	1,038	0
Matterhorn	Switzerland / Italy	4,478	1,031	3,447
Eiger	Switzerland	3,970	356	3,614
