Season	Timeslot ( ET )	Season premiere	Season finale	TV season	Rank	Viewers (millions)
1	Wednesday 9:00 pm	September5,2001	December13,2001	2001–2002	73	8.80
2	Wednesday 9:00 pm	March11,2002	May15,2002	2001–2002	49	10.30
3	Wednesday 9:00 pm	October2,2002	December18,2002	2002	71	8.98
4	Thursday 8:00 pm	May29,2003	August21,2003	2003	N/A	8.32
5	Tuesday 10:00 pm	July6,2004	September21,2004	2004	N/A	10.73
6	Tuesday 9:00 pm	November16,2004	February8,2005	2004–2005	31	11.54
7	Tuesday 9:00 pm	March1,2005	May10,2005	2004–2005	25	13.05
8	Tuesday 9:00 pm	September27,2005	December13,2005	2005–2006	42	10.80
9	Tuesday 9:00 pm Tuesday 10:00 pm Wednesday 8:00 pm	February28,2006	May17,2006	2005–2006	56	9.10
10	Sunday 8:00 pm	September17,2006	December10,2006	2006–2007	31	11.50
11	Sunday 8:00 pm	February18,2007	May6,2007	2006–2007	44	10.10
12	Sunday 8:00 pm	November4,2007	January20,2008	2007–2008	25	11.84
13	Sunday 8:00 pm	September28,2008	December7,2008	2008–2009	27	11.14
14	Sunday 8:00 pm	February15,2009	May10,2009	2008–2009	29	10.91
15	Sunday 8:00 pm	September27,2009	December6,2009	2009–2010	28	11.14
16	Sunday 8:00 pm	February14,2010	May9,2010	2009–2010	29	10.40
17	Sunday 8:00 pm	September26,2010	December12,2010	2010–2011	22	11.93
18	Sunday 8:00 pm	February20,2011	May8,2011	2010–2011	39	10.35
19	Sunday 8:00 pm	September25,2011	December11,2011	2011–2012	34	11.13
20	Sunday 8:00 pm	February19,2012	May6,2012	2011–2012	37	10.30
21	Sunday 8:00 pm	September30,2012	December9,2012	2012–2013	29	10.68
22	Sunday 8:00 pm	February17,2013	May5,2013	2012–2013	36	10.17
