Candidate	Party	Votes	Quotient	Municipality
Timo Soini	PS	130,715	232 388,000	Espoo
Anneli Jäätteenmäki	Kesk.	80,156	316 798,000	Helsinki
Mitro Repo	SDP	71,829	292 051,000	Helsinki
Ville Itälä	Kok.	66,033	386 416,000	Turku
Heidi Hautala	Vihr.	58,926	206 439,000	Helsinki
Satu Hassi	Vihr.	57,032	103 219,500	Tampere
Sari Essayah	KD	53,803	116 194,000	Paimio
Eija-Riitta Korhola	Kok.	51,508	193 208,000	Helsinki
Sirpa Pietikäinen	Kok.	51,493	128 805,333	Hämeenlinna
Risto E.J. Penttilä	Kok.	50,881	96 604,000	Helsinki
Liisa Jaakonsaari	SDP	45,325	146 025,500	Oulu
Hannu Takkula	Kesk.	39,444	158 399,000	Rovaniemi
Riikka Manner	Kesk.	37,330	105 599,333	Varkaus
Lasse Hautala	Kesk.	31,773	79 199,500	Kauhajoki
Kyösti Karjula	Kesk.	29,387	63 359,600	Lumijoki
Annika Lapintie	Vas.	29,112	98 690,000	Turku
Petri Sarvamaa	Kok.	27,391	77 283,200	Helsinki
Kimmo Kiljunen	SDP	26,936	97 350,333	Vantaa
Satu Taiveaho	SDP	25,916	73 012,750	Hämeenlinna
Tarja Cronberg	Vihr.	22,205	68 813,000	Polvijärvi
Source: Ministry of Justice Yleisradio	Source: Ministry of Justice Yleisradio	Source: Ministry of Justice Yleisradio	Source: Ministry of Justice Yleisradio	Source: Ministry of Justice Yleisradio
