National team	Club	Season	Apps	Goals
Brazil	Flamengo	2000	1	0
Brazil	Flamengo	2001	0	0
Brazil	Internazionale	2001–2002	0	0
Brazil	Fiorentina	2001–2002	0	0
Brazil	Parma	2002–2003	5	3
Brazil	Parma	2003–2004	1	0
Brazil	Internazionale	2003–2004	6	7
Brazil	Internazionale	2004–2005	12	7
Brazil	Internazionale	2005–2006	11	8
Brazil	Internazionale	2006–2007	1	0
Brazil	Internazionale	2007–2008	0	0
Brazil	São Paulo	2008	4	0
Brazil	Internazionale	2008–2009	3	2
Brazil	Flamengo	2009	3	0
Brazil	Flamengo	2010	1	0
Total	Total	Total	48	27
