Date	Venue	Score	Result	Competition
18 May 1947	Stade Heysel , Brussels	1–1	1–2	Friendly
24 May 1947	Stade Municipal , Luxembourg City	2–0	6–0	Friendly
24 May 1947	Stade Municipal , Luxembourg City	3–0	6–0	Friendly
9 April 1949	Wembley Stadium , London	2–0	3–1	BHC
27 April 1949	Hampden Park , Glasgow	1–0	2–0	Friendly
27 April 1949	Hampden Park , Glasgow	2–0	2–0	Friendly
1 October 1949	Windsor Park , Belfast	3–0	8–2	BHC
1 November 1950	Hampden Park , Glasgow	3–1	6–1	BHC
1 November 1950	Hampden Park , Glasgow	4–1	6–1	BHC
1 November 1950	Hampden Park , Glasgow	5–1	6–1	BHC
1 November 1950	Hampden Park , Glasgow	6–1	6–1	BHC
12 May 1951	Hampden Park , Glasgow	1–1	3–1	Friendly
