Game	Date	Team	Score	High points	High rebounds	Location Attendance	Record
46	February 1	Washington	W 117–112 (OT)	Chris Bosh (33)	Chris Bosh (13)	Air Canada Centre 13,640	16–30
47	February 3	New York	W 104–90 (OT)	Chris Bosh (29)	Charlie Villanueva (9)	Air Canada Centre 15,858	17–30
48	February 5	L.A. Clippers	L 113–115 (OT)	Chris Bosh (29)	Chris Bosh (16)	Air Canada Centre 15,541	17–31
49	February 8	San Antonio	L 118–125 (OT)	Mike James (36)	Chris Bosh (14)	Air Canada Centre 19,284	17–32
50	February 10	@ Charlotte	W 88–73 (OT)	Charlie Villanueva (24)	Chris Bosh , Morris Peterson (10)	Charlotte Bobcats Arena 17,472	18–32
51	February 12	Portland	W 114–81 (OT)	Morris Peterson (22)	Chris Bosh , Charlie Villanueva (9)	Air Canada Centre 15,014	19–32
52	February 13	@ Minnesota	W 98–94 (OT)	Mike James (27)	José Calderón , Antonio Davis (5)	Target Center 14,911	20–32
53	February 15	@ New York	L 96–98 (OT)	Chris Bosh (25)	Chris Bosh , Morris Peterson (7)	Madison Square Garden 18,901	20–33
54	February 21	@ Memphis	L 88–94 (OT)	Chris Bosh (26)	Charlie Villanueva (10)	FedExForum 15,385	20–34
55	February 25	@ Dallas	L 113–115 (OT)	Chris Bosh (29)	Chris Bosh (13)	American Airlines Center 19,791	20–35
56	February 27	@ Miami	L 94–101 (OT)	Mike James (26)	Charlie Villanueva (11)	American Airlines Arena 19,600	20–36
