Player	Rec.	Yards	Avg.	Long
Darrius Heyward-Bey	42	609	14.5	80
Danny Oquendo	29	371	12.8	50
Torrey Smith	24	336	14.0	44
Dan Gronkowski	29	287	9.9	25
Ronnie Tyler	20	225	11.3	20
Da'Rel Scott	21	171	8.1	25
Isaiah Williams	10	124	12.4	43
Emani Lee-Odai	12	115	9.6	23
Lansford Watson	10	115	11.5	32
Cory Jackson	12	106	8.8	29
Davin Meggett	9	79	8.8	31
Adrian Cannon	3	75	25.0	59
Haroon Brown	1	20	20.0	20
Laquan Williams	2	19	9.5	11
Tommy Galt	1	18	18.0	18
Taylor Watson	1	11	11.0	11
Morgan Green	1	6	6.0	6
