Pick	Player	Position	Nationality	NHL team	College/junior/club team
190	Steve Valiquette	Goaltender	Canada	Los Angeles Kings (from Ottawa)	Sudbury Wolves (OHL)
191	Cory Cyrenne	Centre	Canada	San Jose Sharks	Brandon Wheat Kings (WHL)
192	Evgeny Korolev	Defence	Russia	New York Islanders	Peterborough Petes (OHL)
193	Kai Nurminen	Left Wing	Finland	Los Angeles Kings	HV71 (Sweden)
194	Joel Kwiatkowski	Defence	Canada	Dallas Stars	Prince George Cougars (WHL)
195	Fernando Pisani	Right Wing	Canada	Edmonton Oilers	St. Albert Saints (AJHL)
196	Andrej Podkonicky	Centre	Slovakia	St. Louis Blues (from Buffalo)	ZTK Zvolen (Slovakia)
197	Kevin Marsh	Left Wing	Canada	Hartford Whalers	Calgary Hitmen (WHL)
198	Kevin Kellett	Defence	Canada	Mighty Ducks of Anaheim	Prince Albert Raiders (WHL)
199	Willie Mitchell	Defence	Canada	New Jersey Devils	Melfort Mustangs (SJHL)
200	Nick Lent	Right Wing	United States	Winnipeg Jets	Omaha Lancers (USHL)
201	Jeff Scissons	Centre	Canada	Vancouver Canucks	Vernon Vipers (BCJHL)
202	Ryan Wade	Right Wing	Canada	Calgary Flames	Kelowna Rockets (WHL)
203	Anthony Hutchins	Centre	United States	St. Louis Blues	Lawrence Academy (USHS-MA)
204	Tomas Kaberle	Defence	Czech Republic	Toronto Maple Leafs	HC Kladno (Czech.)
205	Jason Bertsch	Right Wing	Canada	New Jersey Devils (from Tampa Bay)	Spokane Chiefs (WHL)
206	Oleg Orekhovsky	Defence	Russia	Washington Capitals	Moscow Dynamo (Russia)
207	Mattia Baldi	Left Wing	Switzerland	Montreal Canadiens	Ambri-Piotta ( SwissA )
208	Bob Prier	Right Wing	Canada	Boston Bruins	St. Lawrence University (NCAA)
209	Denis Khlopotnov	Goaltender	Russia	Florida Panthers	CSKA Moscow (Russia)
210	Chris Twerdun	Defence	Canada	Chicago Blackhawks	Moose Jaw Warriors (WHL)
211	Ryan Mckie	Defence	Canada	New York Rangers	London Knights (OHL)
212	Erich Goldmann	Defence	Germany	Ottawa Senators (from Pittsburgh)	Mannheim Eagles (Germany)
213	Jeff Milleker	Centre	Canada	Philadelphia Flyers	Moose Jaw Warriors (WHL)
214	Matthew Scorsune	Defence	United States	Colorado Avalanche	Hotchkiss School (USHS-CT)
