Game	Date	Opponent	Result	Nets points	Opponent score	Record	Streak
1	November 3	at Miami	Win	110	90	1-0	Won 1
2	November 4	at Orlando	Win	111	106	2-0	Won 2
3	November 7	vs Miami	Loss	77	83	2-1	Lost 1
4	November 9	at New York	Loss	105	107	2-2	Lost 2
5	November 10	vs Chicago	Win	117	107	3-2	Won 1
6	November 14	vs Cleveland	Loss	92	103	3-3	Lost 1
7	November 15	at Boston	Loss	92	126	3-4	Lost 2
8	November 18	vs San Antonio	Loss	95	110	3-5	Lost 3
9	November 21	at Seattle	Loss	84	114	3-6	Lost 4
10	November 22	at LA Clippers	Loss	97	106	3-7	Lost 5
11	November 24	at Portland	Loss	99	125	3-8	Lost 6
12	November 25	at Sacramento	Loss	98	112	3-9	Lost 7
13	November 27	at Utah	Loss	68	105	3-10	Lost 8
14	November 29	vs Boston	Loss	95	118	3-11	Lost 9
15	December 1	vs Miami	Win	101	77	4-11	Won 1
16	December 5	at Minnesota	Loss	90	92	4-12	Lost 1
17	December 8	at Houston	Win	99	94	5-12	Won 1
18	December 9	at San Antonio	Loss	92	109	5-13	Lost 1
19	December 12	vs Philadelphia	Win	97	82	6-13	Won 1
20	December 14	vs Indiana	Loss	78	102	6-14	Lost 1
21	December 16	vs LA Lakers	Loss	92	99	6-15	Lost 2
22	December 19	at Miami	Win	100	98	7-15	Won 1
23	December 20	vs Dallas	Loss	78	84	7-16	Lost 1
24	December 22	vs Detroit	Loss	90	96	7-17	Lost 2
25	December 23	at New York	Loss	85	94	7-18	Lost 3
26	December 26	vs Washington	Win	101	94	8-18	Won 1
27	December 28	vs New York	Loss	104	106	8-19	Lost 1
28	December 30	at Detroit	Loss	106	117	8-20	Lost 2
29	January 2	at Washington	Loss	96	110	8-21	Lost 3
30	January 3	vs Milwaukee	Loss	96	110	8-22	Lost 4
31	January 6	at Atlanta	Loss	96	105	8-23	Lost 5
32	January 7	vs Atlanta	Win	98	93	9-23	Won 1
33	January 9	vs Boston	Win	87	78	10-23	Won 2
34	January 11	vs Charlotte	Win	109	101	11-23	Won 3
35	January 13	at Cleveland	Loss	96	98	11-24	Lost 1
36	January 14	vs Portland	Loss	90	99	11-25	Lost 2
37	January 17	vs Washington	Win	115	106	12-25	Won 1
38	January 19	at Orlando	Loss	105	120	12-26	Lost 1
39	January 20	at Philadelphia	Loss	98	108	12-27	Lost 2
40	January 25	vs Orlando	Loss	112	117	12-28	Lost 3
41	January 27	at Chicago	Loss	107	110	12-29	Lost 4
42	January 29	at Dallas	Loss	88	108	12-30	Lost 5
43	January 30	at Phoenix	Loss	95	120	12-31	Lost 6
44	February 1	at Denver	Loss	112	123	12-32	Lost 7
45	February 2	at Golden State	Loss	109	128	12-33	Lost 8
46	February 4	at LA Lakers	Loss	105	121	12-34	Lost 9
47	February 7	vs Utah	Loss	101	108	12-35	Lost 10
48	February 14	at Philadelphia	Loss	112	122	12-36	Lost 11
49	February 15	vs Seattle	Loss	92	103	12-37	Lost 12
50	February 17	vs Denver	Loss	117	126	12-38	Lost 13
51	February 20	at Milwaukee	Loss	102	110	12-39	Lost 14
52	February 21	vs Minnesota	Win	95	93	13-39	Won 1
53	February 23	vs Houston	Loss	115	125	13-40	Lost 1
54	February 25	vs Chicago	Loss	106	107	13-41	Lost 2
55	February 27	at Indiana	Loss	113	118	13-42	Lost 3
56	March 2	at Chicago	Loss	91	112	13-43	Lost 4
57	March 3	vs Atlanta	Win	114	109	14-43	Won 1
58	March 5	vs Sacramento	Win	128	111	15-43	Won 2
59	March 7	vs LA Clippers	Loss	115	119	15-44	Lost 1
60	March 9	vs Detroit	Loss	95	99	15-45	Lost 2
61	March 10	at New York	Loss	91	110	15-46	Lost 3
62	March 12	vs Milwaukee	Loss	104	109	15-47	Lost 4
63	March 16	at Philadelphia	Loss	110	119	15-48	Lost 5
64	March 18	at Boston	Loss	106	122	15-49	Lost 6
65	March 19	vs Philadelphia	Loss	94	108	15-50	Lost 7
66	March 21	at Washington	Loss	106	136	15-51	Lost 8
67	March 23	at Indiana	Loss	109	125	15-52	Lost 9
68	March 24	at Cleveland	Loss	108	115	15-53	Lost 10
69	March 26	at Charlotte	Loss	83	97	15-54	Lost 11
70	March 28	vs New York	Win	106	101	16-54	Won 1
71	March 30	vs Phoenix	Loss	119	126	16-55	Lost 1
72	April 1	vs Washington	Loss	97	105	16-56	Lost 2
73	April 4	at Boston	Loss	106	125	16-57	Lost 3
74	April 6	vs Golden State	Loss	117	123	16-58	Lost 4
75	April 8	vs Miami	Win	102	101	17-58	Won 1
76	April 10	vs Boston	Loss	96	112	17-59	Lost 1
77	April 11	at Detroit	Loss	93	98	17-60	Lost 2
78	April 14	vs Indiana	Loss	113	124	17-61	Lost 3
79	April 17	at Atlanta	Loss	95	118	17-62	Lost 4
80	April 18	vs Cleveland	Loss	93	100	17-63	Lost 5
81	April 21	at Milwaukee	Loss	95	96	17-64	Lost 6
82	April 22	vs Orlando	Loss	102	110	17-65	Lost 7
