Location	Aircraft	Tail number	Aircraft damage	Fatalities
Greece	Douglas C-47A	YA-AAD	W/O	Unknown
Off Beirut	DC-4	YA-BAG	W/O	24/27
London	Boeing 727-100C	YA-FAR	W/O	50
Kabul	Douglas C-47DL	YA-BAD	W/O	Unknown
Pakistan	An-26	Unknown	W/O	25/25
Zabol	An-26	YA-BAK	W/O	6/39
Kabul	Tu-154M	YA-TAP	W/O	0/0
Kabul	An-26	YA-BAN	W/O	Unknown
Jalalabad	An-26B	YA-BAO	W/O	3/46
Jalalabad	Yak-40	YA-KAE	W/O	1
Charasyab	Boeing 727-200	YA-FAZ	W/O	45/45
Kabul	An-12B	YA-DAA	W/O	0/0
Kabul	An-12BK	YA-DAB	W/O	0/0
Kabul	An-24	Unknown	W/O	0/0
Kabul	An-24B	YA-DAH	W/O	0/0
Kabul	An-24RV	YA-DAJ	W/O	0/0
Kabul	Boeing 727-100C	YA-FAU	W/O	0/0
Kabul	Boeing 727-100C	YA-FAW	W/O	0/0
Istanbul	A300B4-200	YA-BAD	W/O	0
