Name	Number	Pos.	Height	Weight	Year	Hometown	High School
D'Andre Bell	13	Guard/Forward	6–6	222	Senior	Los Angeles	Palisades Charter High School
Derek Craig	33	Guard	6–4	196	Sophomore	Spring, Texas	Klein Collins High School
Derrick Favors	14	Forward	6–10	246	Freshman	Atlanta	South Atlanta High School
Nick Foreman	4	Guard	6–3	208	Sopohmore	Bellaire, Texas	Bellaire High School
Kammeon Holsey	24	Forward	6–8	209	Freshman	Sparta, Georgia	Hancock Central High School
Gani Lawal	31	Forward	6–9	234	Junior	Norcross, Georgia	Norcross High School
Daniel Miller	5	Center	6–11	252	Freshman	Loganville, Georgia	Loganville Christian Academy
Maurice Miller	3	Guard	6–2	189	Junior	Memphis, Tennessee	Raleigh-Egypt High School
Brian Oliver	11	Forward	6–6	220	Freshman	Glassboro, New Jersey	William Penn High School
Zachery Peacock	35	Forward	6–8	235	Senior	Miami, Fla.	Miami Norland High School
Glen Rice, Jr.	41	Guard	6–5	195	Freshman	Marietta, Georgia	George Walton Comprehensive High School
Brad Sheehan	34	Center	7–0	235	Junior	Latham, New York	Shaker High School
Sam Shew	44	Forward	6–5	190	Junior	Decatur, Georgia	Decatur High School (Georgia)
Iman Shumpert	1	Guard	6–5	209	Sophomore	Oak Park, Illinois	Oak Park and River Forest High School
Lance Storrs	10	Guard	6–5	221	Junior	Decatur, Georgia	Columbia High School
