Wicket Partnership	Runs	Batsmen	Opponents	Venue	Season
1st	269	Mark Pettini Jason Gallian	v Surrey	The Oval	2008
2nd	273	Graham Gooch Ken McEwan	v Nottinghamshire	Nottingham	1983
3rd	268*	Graham Gooch Keith Fletcher	v Sussex	Hove	1982
4th	151	Ronnie Irani Paul Grayson	v Northamptonshire	Northampton	1999
5th	190	Ravi Bopara James Foster	v Leicestershire	Leicester	2008
6th	127	Stuart Law Robert Rollins	v Hampshire	Southampton	1996
7th	92	Brian Edmeades Stuart Turner	v Nottinghamshire	Chelmsford	1969
8th	109	Ray East Neil Smith	v Northamptonshire	Chelmsford	1977
9th	67	unknown Ray East	v Gloucestershire	Chelmsford	1973
10th	81	Stuart Turner Ray East	v Yorkshire	Leeds	1982
Source: CricketArchive. Last updated: 5 June 2008.	Source: CricketArchive. Last updated: 5 June 2008.	Source: CricketArchive. Last updated: 5 June 2008.	Source: CricketArchive. Last updated: 5 June 2008.	Source: CricketArchive. Last updated: 5 June 2008.	Source: CricketArchive. Last updated: 5 June 2008.
