Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	60	1:24:42.700	4
Kimi Räikkönen	McLaren - Mercedes	60	+2.130	1
Rubens Barrichello	Ferrari	60	+3.114	2
Jenson Button	BAR - Honda	60	+10.683	3
Juan Pablo Montoya	Williams - BMW	60	+12.173	7
Giancarlo Fisichella	Sauber - Petronas	60	+12.888	20
David Coulthard	McLaren - Mercedes	60	+19.668	6
Mark Webber	Jaguar - Cosworth	60	+23.701	9
Felipe Massa	Sauber - Petronas	60	+24.023	10
Fernando Alonso	Renault	60	+24.835	16
Takuma Sato	BAR - Honda	60	+33.736	8
Marc Gené	Williams - BMW	60	+34.303	11
Cristiano da Matta	Toyota	59	+1 Lap	12
Christian Klien	Jaguar - Cosworth	59	+1 Lap	13
Nick Heidfeld	Jordan - Ford	59	+1 Lap	15
Gianmaria Bruni	Minardi - Cosworth	56	+4 Laps	18
Giorgio Pantano	Jordan - Ford	47	Spin	14
Jarno Trulli	Renault	39	Suspension/Accident	5
Zsolt Baumgartner	Minardi - Cosworth	29	Engine	19
Olivier Panis	Toyota	16	Fire Extinguisher	17
