Year	Manufacturer	Start	Finish	Team
1961	Chrysler	28	40	Buck Baker
1962	Chrysler	15	29	Buck Baker
1964	Plymouth	42	29	David Walker
1965	Dodge	18	40	Buck Baker
1966	Chevrolet	36	32	Buck Baker
1967	Dodge	9	28	Fox
1968	Dodge	13	30	Fox
1969	Dodge	1	5	Fox
1970	Dodge	2	27	Owens
1971	Dodge	6	2	Petty
1972	Dodge	31	34	Petty
1973	Dodge	1	6	Krauskopf
1975	Ford	13	20	Moore
1976	Ford	5	33	Moore
1977	Ford	8	3	Moore
1978	Oldsmobile	31	7	Anderson
1979	Oldsmobile	1	40	Ranier
1980	Oldsmobile	1	1	Ranier
1981	Oldsmobile	6	4	Ellington
1982	Buick	4	8	Ellington
1983	Ford	5	3	Wood
1984	Ford	5	38	Wood
1985	Oldsmobile	7	4	Baker/ Schiff
1986	Oldsmobile	17	26	Baker/ Schiff
1987	Oldsmobile	7	4	Baker/ Schiff
1988	Oldsmobile	18	9	Baker/ Schiff
1991	Pontiac	16	37	Osterlund
1992	Oldsmobile	24	11	Derick Close
1994	Ford	DNQ	DNQ	Moroso
