County	Population	Per capita income	Median household income	Median family income
Alameda	1,494,876	$34,937	$70,821	$87,012
Alpine	1,167	$29,576	$59,018	$81,750
Amador	38,244	$28,030	$56,180	$69,521
Butte	219,309	$23,431	$42,971	$54,175
Calaveras	45,794	$28,667	$55,256	$67,253
Colusa	21,297	$21,271	$49,558	$55,063
Contra Costa	1,037,817	$38,141	$79,135	$93,437
Del Norte	28,561	$19,247	$37,588	$52,076
El Dorado	179,878	$34,385	$68,815	$82,930
Fresno	920,623	$20,638	$46,903	$52,832
Glenn	28,027	$21,254	$43,239	$51,067
Humboldt	133,585	$24,209	$40,376	$52,317
Imperial	171,343	$16,593	$39,402	$43,769
Inyo	18,457	$27,532	$49,571	$68,204
Kern	829,254	$20,167	$48,021	$52,041
Kings	152,335	$18,296	$48,838	$51,932
Lake	64,392	$22,238	$39,525	$50,278
Lassen	35,001	$19,339	$52,484	$65,396
Los Angeles	9,787,747	$27,954	$56,266	$62,595
Madera	149,611	$18,817	$47,724	$51,658
Marin	250,666	$54,605	$89,605	$113,826
Mariposa	18,290	$27,209	$49,174	$58,237
Mendocino	87,525	$23,585	$44,527	$54,083
Merced	253,606	$18,304	$43,945	$48,429
Modoc	9,587	$20,769	$35,402	$46,047
Mono	14,016	$28,789	$60,469	$78,079
Monterey	411,385	$25,508	$59,737	$63,523
Napa	135,377	$35,309	$68,641	$79,884
Nevada	98,392	$31,607	$58,077	$69,807
Orange	2,989,948	$34,416	$75,762	$85,009
Placer	343,554	$35,583	$74,645	$90,446
Plumas	20,192	$28,104	$44,151	$53,128
Riverside	2,154,844	$24,516	$58,365	$65,457
Sacramento	1,408,480	$27,180	$56,553	$65,720
San Benito	54,873	$26,300	$65,570	$73,150
San Bernardino	2,023,452	$21,932	$55,853	$61,525
San Diego	3,060,849	$30,955	$63,857	$74,633
San Francisco	797,983	$46,777	$72,947	$87,329
San Joaquin	680,277	$22,857	$53,764	$60,725
San Luis Obispo	267,871	$30,204	$58,630	$74,841
San Mateo	711,622	$45,346	$87,633	$104,370
Santa Barbara	419,793	$30,330	$61,896	$71,695
Santa Clara	1,762,754	$40,698	$89,064	$103,255
Santa Cruz	259,402	$32,975	$66,030	$80,572
Shasta	177,231	$23,691	$44,058	$55,250
Sierra	3,277	$26,137	$50,308	$56,469
Siskiyou	44,687	$22,335	$37,865	$47,632
Solano	411,620	$29,367	$69,914	$79,316
Sonoma	478,551	$33,119	$64,343	$78,227
Stanislaus	512,469	$21,820	$50,671	$56,996
Sutter	94,192	$22,464	$50,010	$54,737
Tehama	62,985	$20,689	$38,753	$46,805
Trinity	13,711	$22,551	$37,672	$46,980
Tulare	436,234	$17,986	$43,550	$46,881
Tuolumne	55,736	$26,084	$47,359	$59,710
Ventura	815,745	$32,740	$76,728	$86,321
Yolo	198,889	$28,631	$57,920	$74,991
Yuba	71,817	$20,046	$46,617	$52,775
