Country/Region	Show Title	Languages	Host	Channel	Premiere	Seasons	Status
Armenia	Parir te Karogh Es	Armenian	Grikor Aghakhanyan	Shant TV	2011	1 · 2 · 3	Ongoing
Australia	So You Think You Can Dance Australia	English	Natalie Bassingthwaighte (Seasons 1-3)	Network Ten	2008-02-08 08-02-2008	1 · 2 · 3 · 4	Ongoing
Benelux	So You Think You Can Dance - The Next Generation	Dutch English	Lieke van Lexmond Dennis Weening	RTL5	2013-04-13 13-04-2013	1	Ongoing
Canada	So You Think You Can Dance Canada	English French	Leah Miller	CTV	2008-09-11 11-09-2008	1 · 2 · 3 · 4	Discontinued
China	So You Think You Can Dance	Chinese	Cheng Lei	Dragon TV	2013-02-16 16-02-2013	1	Ongoing
Denmark	Kan Du Danse?	Danish	Thomas Mygind & Anne Katrine Skole	TV3	2006-07-20 20-07-2006	1 · 2	Discontinued
Finland	Dance Suomi	Finnish	Caro Axel Smith	Nelonen	2010-08-29 29-08-2010	1 · 2	Ongoing
France	You Can Dance	French	Benjamin Castaldi	NTI	2012-02-16 16-02-2012	1	Discontinued
Germany	You Can Dance	German	Anna Maier	Sat.1	2010	1	Discontinued
Greece	So You Think You Can Dance	Greek	Vicky Kaya	Mega Channel	2007-02-01 01-02-2007	1 · 2	Discontinued
Israel	Nolad Lirkod	Hebrew	Zvika Hadar	Channel 2	2005-12-02 02-12-2005	1 · 2 · 3	Discontinued
Lithuania	Tu gali šokti	Lithuanian	Mindaugas Meškauskas	TV3	2010-04-11 11-04-2010	1 · 2	Discontinued
New Zealand	So You Think You Can Dance	English	Shane Cortese	TV3	2006	1	Discontinued
Norway	Dansefeber	Norwegian	Kjetil Tefke Henriette Lien	TVNorge	2006	1 · 2	Discontinued
Portugal	Achas que Sabes Dançar?	Portuguese	João Manzarra	SIC	2010-05-30 30-05-2010	1	Discontinued
Scandinavia	So You Think You Can Dance Scandinavia	Swedish Norwegian Danish	Kicki Berg Henriette Lien Vicki Jo	Kanal 5 TVNorge Kanal 5	2008-02-28 28-02-2008 13-03-2008 13-03-2008	1	Discontinued
South Africa	So You Think You Can Dance	English	Sade Giliberti	SABC 1	2009-02-07 07-02-2009	1 · 2 · 3	Ongoing
Ukraine	Tancyuyut Vsi!	Ukrainian	Lilia Rebryk & Dmytro Tankovich	STB	2008-09-12 12-09-2008	1 · 2 · 3 · 4 · 5 · 6	Ongoing
United Kingdom	So You Think You Can Dance	English	Cat Deeley	BBC One	2010-01-02 02-01-2010	1 · 2	Discontinued
